num_race,num_set,Country,win_or_lose,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors,set_efficiency
11831,0,SRB,,56,27,42,19,65,11,32,6,9,15,0.055
11831,0,TUR,,57,36,46,19,77,6,27,9,6,6,0.115
11831,1,SRB,0.0,9,7,2,3,6,2,6,2,3,4,0.04
11831,1,TUR,1.0,12,6,8,4,11,2,7,3,2,3,0.125
11831,2,SRB,1.0,13,4,7,3,10,3,8,0,2,2,0.062
11831,2,TUR,0.0,12,10,8,5,10,0,9,2,0,0,0.167
11831,3,SRB,0.0,11,3,13,7,9,2,7,3,4,3,0.074
11831,3,TUR,1.0,15,6,7,4,20,1,4,4,3,2,0.056
11831,4,SRB,1.0,15,6,14,5,20,3,6,0,0,2,0.043
11831,4,TUR,0.0,14,8,11,5,21,1,5,0,0,1,0.136
11831,5,SRB,0.0,8,7,6,1,20,1,5,1,0,4,0.059
11831,5,TUR,1.0,4,6,12,1,15,2,2,0,1,0,0.087
11833,0,JPN,,44,4,30,16,38,4,26,2,5,7,0.244
11833,0,THA,,34,16,11,7,35,6,19,5,2,6,0.106
11833,1,JPN,1.0,14,1,11,1,11,0,7,0,2,5,0.2
11833,1,THA,0.0,9,7,3,1,10,2,4,2,0,2,0.077
11833,2,JPN,1.0,14,0,5,6,12,3,12,2,3,1,0.31
11833,2,THA,0.0,13,4,5,3,13,4,7,3,2,1,0.133
11833,3,JPN,1.0,16,3,14,9,15,1,7,0,0,1,0.226
11833,3,THA,0.0,12,5,3,3,12,0,8,0,0,3,0.105
11834,0,CHN,,53,13,28,22,58,6,25,4,7,13,0.074
11834,0,KOR,,49,28,12,14,52,9,39,7,4,8,0.079
11834,1,CHN,0.0,16,6,6,9,15,0,11,1,2,2,0.023
11834,1,KOR,1.0,16,4,7,2,13,3,10,2,1,1,0.056
11834,2,CHN,1.0,11,1,7,7,12,2,6,0,0,2,0.034
11834,2,KOR,0.0,16,11,1,2,11,0,12,0,0,3,0.045
11834,3,CHN,1.0,13,1,6,4,12,1,4,3,2,5,0.12
11834,3,KOR,0.0,10,6,0,6,12,1,10,2,3,3,0.094
11834,4,CHN,1.0,13,5,9,2,19,3,4,0,3,4,0.135
11834,4,KOR,0.0,7,7,4,4,16,5,7,3,0,1,0.128
11835,0,DOM,,34,16,5,14,23,23,19,2,1,6,0.2
11835,0,USA,,51,10,17,16,24,16,21,1,2,7,0.417
11835,1,DOM,0.0,15,2,0,4,3,10,5,1,0,2,1.0
11835,1,USA,1.0,20,3,3,6,4,9,9,0,1,1,0.0
11835,2,DOM,0.0,9,5,4,8,12,6,3,0,1,2,0.0
11835,2,USA,1.0,18,6,6,5,12,3,7,1,0,5,0.5
11835,3,DOM,0.0,10,9,1,2,8,7,11,1,0,2,0.0
11835,3,USA,1.0,13,1,8,5,8,4,5,0,1,1,1.0
11836,0,ITA,,53,30,32,20,73,14,27,8,10,11,0.222
11836,0,POL,,59,25,37,16,61,18,31,10,8,17,0.108
11836,1,ITA,0.0,11,4,11,6,13,3,7,2,1,4,0.219
11836,1,POL,1.0,14,6,6,3,14,4,8,1,2,4,0.053
11836,2,ITA,1.0,13,6,4,1,17,4,4,1,3,2,0.314
11836,2,POL,0.0,13,5,9,4,12,5,5,3,1,3,0.188
11836,3,ITA,1.0,6,7,6,3,16,2,6,0,6,2,0.226
11836,3,POL,0.0,11,6,11,3,13,2,2,6,0,6,0.121
11836,4,ITA,0.0,15,7,7,8,14,2,7,2,0,1,0.25
11836,4,POL,1.0,15,4,5,3,12,5,11,0,2,2,0.129
11836,5,ITA,0.0,8,6,4,2,13,3,3,3,0,2,0.071
11836,5,POL,1.0,6,4,6,3,10,2,5,0,3,2,0.042
11837,0,BRA,,49,11,22,14,27,15,27,1,3,1,0.0
11837,0,CAN,,44,35,11,14,26,21,26,3,1,9,0.0
11837,1,BRA,0.0,14,4,4,7,9,5,10,1,0,0,0.0
11837,1,CAN,1.0,19,5,3,3,8,9,6,0,1,4,0.0
11837,2,BRA,1.0,13,3,6,1,8,3,7,0,0,1,
11837,2,CAN,0.0,6,9,2,3,5,6,8,0,0,3,0.0
11837,3,BRA,0.0,11,1,4,2,3,5,4,0,3,0,0.0
11837,3,CAN,1.0,8,9,2,3,3,3,5,3,0,1,0.0
11837,4,BRA,1.0,11,3,8,4,7,2,6,0,0,0,0.0
11837,4,CAN,0.0,11,12,4,5,10,3,7,0,0,1,0.0
11838,0,GER,,62,20,12,10,54,11,38,6,6,15,0.233
11838,0,NED,,63,23,12,13,59,5,32,6,6,17,0.228
11838,1,GER,0.0,8,7,3,1,7,2,7,3,1,1,0.091
11838,1,NED,1.0,12,3,5,2,6,1,6,1,3,5,0.174
11838,2,GER,1.0,16,3,3,0,12,1,11,0,2,4,0.216
11838,2,NED,0.0,11,6,2,2,15,1,6,2,0,1,0.235
11838,3,GER,0.0,13,2,2,4,14,3,11,2,1,3,0.171
11838,3,NED,1.0,22,5,2,2,18,1,10,1,2,7,0.114
11838,4,GER,1.0,15,7,4,2,12,1,5,1,1,5,0.367
11838,4,NED,0.0,10,6,2,5,12,0,8,1,1,3,0.36
11838,5,GER,1.0,10,1,0,3,9,4,4,0,1,2,0.318
11838,5,NED,0.0,8,3,1,2,8,2,2,1,0,1,0.368
11839,0,KOR,,62,13,42,18,71,6,34,5,5,9,0.279
11839,0,THA,,43,15,16,19,63,17,31,5,5,5,0.156
11839,1,KOR,0.0,10,4,6,5,14,3,7,4,0,1,0.088
11839,1,THA,1.0,15,2,4,3,17,3,6,0,4,3,0.211
11839,2,KOR,1.0,16,2,11,5,18,0,11,0,2,2,0.394
11839,2,THA,0.0,8,7,3,2,13,6,4,2,0,0,0.057
11839,3,KOR,1.0,17,3,11,4,19,1,7,0,2,3,0.333
11839,3,THA,0.0,11,4,6,6,16,4,9,2,0,2,0.171
11839,4,KOR,1.0,19,4,14,4,20,2,9,1,1,3,0.297
11839,4,THA,0.0,9,2,3,8,17,4,12,1,1,0,0.179
11840,0,CHN,,29,10,11,11,24,8,23,7,0,4,0.297
11840,0,JPN,,53,12,7,8,50,9,27,0,7,6,0.386
11840,1,CHN,0.0,10,8,2,4,11,4,9,0,0,1,0.25
11840,1,JPN,1.0,16,2,7,2,21,5,8,0,0,0,0.436
11840,2,CHN,0.0,7,0,4,3,7,3,6,3,0,2,0.409
11840,2,JPN,1.0,19,5,0,1,17,1,11,0,3,6,0.35
11840,3,CHN,0.0,12,2,5,4,6,1,8,4,0,1,0.28
11840,3,JPN,1.0,18,5,0,5,12,3,8,0,4,0,0.371
11842,0,POL,,44,22,14,18,46,20,38,3,5,8,0.116
11842,0,SRB,,58,15,18,22,55,9,16,5,3,12,0.082
11842,1,POL,1.0,15,3,2,8,12,1,9,0,2,4,0.107
11842,1,SRB,0.0,13,4,2,8,9,3,4,2,0,4,0.103
11842,2,POL,0.0,11,4,6,2,14,7,7,2,0,1,0.065
11842,2,SRB,1.0,17,4,7,6,16,0,4,0,2,2,0.091
11842,3,POL,0.0,8,11,3,4,9,4,12,0,2,1,0.125
11842,3,SRB,1.0,10,1,7,5,13,1,5,2,0,3,0.0
11842,4,POL,0.0,10,4,3,4,11,8,10,1,1,2,0.167
11842,4,SRB,1.0,18,6,2,3,17,5,3,1,1,3,0.118
11843,0,BRA,,49,9,15,9,15,2,28,1,2,10,0.132
11843,0,DOM,,30,19,10,10,18,4,18,2,1,5,0.02
11843,1,BRA,1.0,17,5,5,2,4,1,11,1,2,5,0.053
11843,1,DOM,0.0,9,6,3,4,6,1,2,2,1,0,0.0
11843,2,BRA,1.0,15,1,5,3,5,1,6,0,0,3,0.25
11843,2,DOM,0.0,9,8,4,3,4,3,10,0,0,2,0.061
11843,3,BRA,1.0,17,3,5,4,6,0,11,0,0,2,0.138
11843,3,DOM,0.0,12,5,3,3,8,0,6,0,0,3,0.0
11844,0,ITA,,35,15,2,10,26,14,19,5,1,12,0.139
11844,0,TUR,,43,3,10,11,25,12,23,1,5,12,0.229
11844,1,ITA,0.0,11,8,0,2,11,2,10,3,0,3,0.167
11844,1,TUR,1.0,11,0,5,1,7,4,8,0,3,2,0.444
11844,2,ITA,0.0,14,4,1,3,9,4,4,1,1,4,0.107
11844,2,TUR,1.0,16,1,4,6,10,6,10,1,1,7,0.103
11844,3,ITA,0.0,10,3,1,5,6,8,5,1,0,5,0.143
11844,3,TUR,1.0,16,2,1,4,8,2,5,0,1,3,0.217
11845,0,CAN,,29,18,10,11,12,2,9,4,0,4,0.03
11845,0,USA,,48,10,14,4,28,0,18,0,4,8,0.028
11845,1,CAN,0.0,14,8,5,5,6,1,3,0,0,3,0.047
11845,1,USA,1.0,14,5,5,4,8,0,7,0,0,3,0.049
11845,2,CAN,0.0,8,4,5,4,3,1,3,2,0,1,0.0
11845,2,USA,1.0,18,4,5,0,8,0,6,0,2,3,0.029
11845,3,CAN,0.0,7,6,0,2,3,0,3,2,0,0,0.031
11845,3,USA,1.0,16,1,4,0,12,0,5,0,2,2,0.0
11848,0,JPN,,52,12,10,1,9,0,35,3,4,6,0.044
11848,0,KOR,,38,16,7,2,15,0,26,4,3,4,0.027
11848,1,JPN,1.0,17,4,3,0,0,0,13,0,1,1,0.0
11848,1,KOR,0.0,12,6,3,0,5,0,11,1,0,1,0.026
11848,2,JPN,1.0,17,3,1,1,4,0,13,0,2,3,0.065
11848,2,KOR,0.0,11,4,1,0,6,0,8,2,0,1,0.034
11848,3,JPN,1.0,18,5,6,0,5,0,9,3,1,2,0.065
11848,3,KOR,0.0,15,6,3,2,4,0,7,1,3,2,0.023
11849,0,CAN,,51,17,23,18,71,18,19,13,5,15,0.112
11849,0,DOM,,53,18,10,19,82,18,16,5,13,12,0.082
11849,1,CAN,0.0,13,9,6,4,12,3,2,4,0,3,0.091
11849,1,DOM,1.0,8,4,3,4,15,4,1,0,4,0,0.103
11849,2,CAN,0.0,13,2,10,6,26,4,6,3,1,5,0.095
11849,2,DOM,1.0,15,7,0,7,34,2,8,1,3,3,0.093
11849,3,CAN,1.0,17,5,5,4,23,8,7,2,2,3,0.114
11849,3,DOM,0.0,16,7,5,5,17,9,5,2,2,3,0.056
11849,4,CAN,0.0,8,1,2,4,10,3,4,4,2,4,0.167
11849,4,DOM,1.0,14,0,2,3,16,3,2,2,4,6,0.074
11850,0,CHN,,46,7,26,14,37,11,24,2,5,6,0.43
11850,0,THA,,38,19,11,15,31,11,25,5,2,3,0.16
11850,1,CHN,1.0,16,3,9,2,17,3,8,0,1,2,0.394
11850,1,THA,0.0,10,7,5,3,12,7,8,1,0,0,0.118
11850,2,CHN,1.0,15,1,7,6,13,4,6,1,3,2,0.379
11850,2,THA,0.0,11,5,4,6,9,2,8,3,1,1,0.185
11850,3,CHN,1.0,15,3,10,6,7,4,10,1,1,2,0.542
11850,3,THA,0.0,17,7,2,6,10,2,9,1,1,2,0.182
11851,0,POL,,57,20,16,13,38,15,22,4,8,8,0.223
11851,0,TUR,,65,21,16,18,47,12,21,8,4,7,0.227
11851,1,POL,0.0,14,7,5,1,10,4,5,2,2,1,0.273
