,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,14,Schölzel Marie ,MB,2,6,5,13,-30.77,GER,BLOCK,0,0,13754,
1,21,Weitzel Camilla ,MB,2,6,8,16,-25.00,GER,BLOCK,0,0,13754,
2,6,Janiska Jennifer ,OH,1,1,0,2,0.00,GER,BLOCK,0,0,13754,
3,10,Stigrot Lena ,OH,1,2,0,3,-33.33,GER,BLOCK,0,0,13754,
4,1,Bock Linda ,L,0,0,0,0,,GER,BLOCK,0,0,13754,
5,2,Kästner Pia ,S,0,3,2,5,-60.00,GER,BLOCK,0,0,13754,
6,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,0,0,13754,
7,5,Glaab Corina ,S,0,1,0,1,-100.00,GER,BLOCK,0,0,13754,
8,7,Vanjak Ivana ,OH,0,0,0,0,,GER,BLOCK,0,0,13754,
9,9,Alsmeier Lina ,OH,0,1,1,2,-50.00,GER,BLOCK,0,0,13754,
10,12,Orthmann Hanna ,OH,0,2,0,2,-100.00,GER,BLOCK,0,0,13754,
11,13,Hippe Saskia ,O,0,0,0,0,,GER,BLOCK,0,0,13754,
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,BLOCK,0,0,13754,
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,0,0,13754,
0,10,Stigrot Lena ,OH,1,1,0,2,0.00,GER,BLOCK,1,27,13754,0
1,21,Weitzel Camilla ,MB,1,2,1,4,-25.00,GER,BLOCK,1,27,13754,0
2,1,Bock Linda ,L,0,0,0,0,,GER,BLOCK,1,27,13754,0
3,2,Kästner Pia ,S,0,1,1,2,-50.00,GER,BLOCK,1,27,13754,0
4,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,1,27,13754,0
5,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,1,27,13754,0
6,6,Janiska Jennifer ,OH,0,0,0,0,,GER,BLOCK,1,27,13754,0
7,7,Vanjak Ivana ,OH,0,0,0,0,,GER,BLOCK,1,27,13754,0
8,9,Alsmeier Lina ,OH,0,0,0,0,,GER,BLOCK,1,27,13754,0
9,12,Orthmann Hanna ,OH,0,1,0,1,-100.00,GER,BLOCK,1,27,13754,0
10,13,Hippe Saskia ,O,0,0,0,0,,GER,BLOCK,1,27,13754,0
11,14,Schölzel Marie ,MB,0,1,0,1,-100.00,GER,BLOCK,1,27,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,BLOCK,1,27,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,1,27,13754,0
0,21,Weitzel Camilla ,MB,1,1,5,7,0.00,GER,BLOCK,2,25,13754,1
1,1,Bock Linda ,L,0,0,0,0,,GER,BLOCK,2,25,13754,1
2,2,Kästner Pia ,S,0,1,1,2,-50.00,GER,BLOCK,2,25,13754,1
3,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,2,25,13754,1
4,5,Glaab Corina ,S,0,0,0,0,,GER,BLOCK,2,25,13754,1
5,6,Janiska Jennifer ,OH,0,0,0,0,,GER,BLOCK,2,25,13754,1
6,7,Vanjak Ivana ,OH,0,0,0,0,,GER,BLOCK,2,25,13754,1
7,9,Alsmeier Lina ,OH,0,0,0,0,,GER,BLOCK,2,25,13754,1
8,10,Stigrot Lena ,OH,0,0,0,0,,GER,BLOCK,2,25,13754,1
9,12,Orthmann Hanna ,OH,0,1,0,1,-100.00,GER,BLOCK,2,25,13754,1
10,13,Hippe Saskia ,O,0,0,0,0,,GER,BLOCK,2,25,13754,1
11,14,Schölzel Marie ,MB,0,2,1,3,-66.67,GER,BLOCK,2,25,13754,1
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,BLOCK,2,25,13754,1
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,2,25,13754,1
0,14,Schölzel Marie ,MB,2,0,3,5,40.00,GER,BLOCK,3,25,13754,0
1,1,Bock Linda ,L,0,0,0,0,,GER,BLOCK,3,25,13754,0
2,2,Kästner Pia ,S,0,0,0,0,,GER,BLOCK,3,25,13754,0
3,4,Pogany Anna (C),L,0,0,0,0,,GER,BLOCK,3,25,13754,0
4,5,Glaab Corina ,S,0,1,0,1,-100.00,GER,BLOCK,3,25,13754,0
5,6,Janiska Jennifer ,OH,0,1,0,1,-100.00,GER,BLOCK,3,25,13754,0
6,7,Vanjak Ivana ,OH,0,0,0,0,,GER,BLOCK,3,25,13754,0
