,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,19,Kalac Asli ,MB,2,0,14,16,12.50,TUR,SERVE,0,0,11831,
1,4,Ivegin Tugba ,OH,1,1,3,5,0.00,TUR,SERVE,0,0,11831,
2,8,Guveli Yasemin ,MB,1,0,9,10,10.00,TUR,SERVE,0,0,11831,
3,9,Diken Meliha ,O,1,0,11,12,8.33,TUR,SERVE,0,0,11831,
4,99,Karakurt Ebrar ,O,1,1,6,8,0.00,TUR,SERVE,0,0,11831,
5,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,SERVE,0,0,11831,
6,3,Özbay Cansu ,S,0,1,6,7,-14.29,TUR,SERVE,0,0,11831,
7,5,Ercan Seyma ,OH,0,0,3,3,0.00,TUR,SERVE,0,0,11831,
8,6,Akman Kubra ,MB,0,0,0,0,,TUR,SERVE,0,0,11831,
9,7,Baladin Hande ,OH,0,0,8,8,0.00,TUR,SERVE,0,0,11831,
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SERVE,0,0,11831,
11,11,Aydemir Akyol Naz ,S,0,1,8,9,-11.11,TUR,SERVE,0,0,11831,
12,13,Boz Meryem ,O,0,0,15,15,0.00,TUR,SERVE,0,0,11831,
13,14,Erdem Dündar Eda (C),MB,0,2,10,12,-16.67,TUR,SERVE,0,0,11831,
0,4,Ivegin Tugba ,OH,1,1,2,4,0.00,TUR,SERVE,1,25,11831,1
1,8,Guveli Yasemin ,MB,1,0,6,7,14.29,TUR,SERVE,1,25,11831,1
2,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,SERVE,1,25,11831,1
3,3,Özbay Cansu ,S,0,0,0,0,,TUR,SERVE,1,25,11831,1
4,5,Ercan Seyma ,OH,0,0,0,0,,TUR,SERVE,1,25,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,SERVE,1,25,11831,1
6,7,Baladin Hande ,OH,0,0,2,2,0.00,TUR,SERVE,1,25,11831,1
7,9,Diken Meliha ,O,0,0,0,0,,TUR,SERVE,1,25,11831,1
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SERVE,1,25,11831,1
9,11,Aydemir Akyol Naz ,S,0,1,2,3,-33.33,TUR,SERVE,1,25,11831,1
10,13,Boz Meryem ,O,0,0,5,5,0.00,TUR,SERVE,1,25,11831,1
11,14,Erdem Dündar Eda (C),MB,0,1,2,3,-33.33,TUR,SERVE,1,25,11831,1
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,SERVE,1,25,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,SERVE,1,25,11831,1
0,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,SERVE,2,18,11831,0
1,3,Özbay Cansu ,S,0,0,0,0,,TUR,SERVE,2,18,11831,0
2,4,Ivegin Tugba ,OH,0,0,1,1,0.00,TUR,SERVE,2,18,11831,0
3,5,Ercan Seyma ,OH,0,0,0,0,,TUR,SERVE,2,18,11831,0
4,6,Akman Kubra ,MB,0,0,0,0,,TUR,SERVE,2,18,11831,0
5,7,Baladin Hande ,OH,0,0,2,2,0.00,TUR,SERVE,2,18,11831,0
6,8,Guveli Yasemin ,MB,0,0,3,3,0.00,TUR,SERVE,2,18,11831,0
7,9,Diken Meliha ,O,0,0,3,3,0.00,TUR,SERVE,2,18,11831,0
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SERVE,2,18,11831,0
9,11,Aydemir Akyol Naz ,S,0,0,4,4,0.00,TUR,SERVE,2,18,11831,0
10,13,Boz Meryem ,O,0,0,2,2,0.00,TUR,SERVE,2,18,11831,0
