,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,3,Özbay Cansu ,S,8,1,46,55,12.73,TUR,SET,0,0,11831,
1,11,Aydemir Akyol Naz ,S,8,0,83,91,8.79,TUR,SET,0,0,11831,
2,13,Boz Meryem ,O,1,0,0,1,100.00,TUR,SET,0,0,11831,
3,99,Karakurt Ebrar ,O,1,0,0,1,100.00,TUR,SET,0,0,11831,
4,2,Akoz Simge Sebnem ,L,0,0,3,3,0.00,TUR,SET,0,0,11831,
5,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,SET,0,0,11831,
6,5,Ercan Seyma ,OH,0,0,0,0,,TUR,SET,0,0,11831,
7,6,Akman Kubra ,MB,0,0,0,0,,TUR,SET,0,0,11831,
8,7,Baladin Hande ,OH,0,0,0,0,,TUR,SET,0,0,11831,
9,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,SET,0,0,11831,
10,9,Diken Meliha ,O,0,0,1,1,0.00,TUR,SET,0,0,11831,
11,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SET,0,0,11831,
12,14,Erdem Dündar Eda (C),MB,0,0,5,5,0.00,TUR,SET,0,0,11831,
13,19,Kalac Asli ,MB,0,0,0,0,,TUR,SET,0,0,11831,
0,11,Aydemir Akyol Naz ,S,1,0,18,19,5.26,TUR,SET,1,25,11831,1
1,13,Boz Meryem ,O,1,0,0,1,100.00,TUR,SET,1,25,11831,1
2,99,Karakurt Ebrar ,O,1,0,0,1,100.00,TUR,SET,1,25,11831,1
3,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,SET,1,25,11831,1
4,3,Özbay Cansu ,S,0,0,0,0,,TUR,SET,1,25,11831,1
5,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,SET,1,25,11831,1
6,5,Ercan Seyma ,OH,0,0,0,0,,TUR,SET,1,25,11831,1
7,6,Akman Kubra ,MB,0,0,0,0,,TUR,SET,1,25,11831,1
8,7,Baladin Hande ,OH,0,0,0,0,,TUR,SET,1,25,11831,1
9,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,SET,1,25,11831,1
10,9,Diken Meliha ,O,0,0,0,0,,TUR,SET,1,25,11831,1
11,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SET,1,25,11831,1
12,14,Erdem Dündar Eda (C),MB,0,0,3,3,0.00,TUR,SET,1,25,11831,1
13,19,Kalac Asli ,MB,0,0,0,0,,TUR,SET,1,25,11831,1
0,11,Aydemir Akyol Naz ,S,4,0,18,22,18.18,TUR,SET,2,18,11831,0
1,3,Özbay Cansu ,S,1,0,4,5,20.00,TUR,SET,2,18,11831,0
2,2,Akoz Simge Sebnem ,L,0,0,2,2,0.00,TUR,SET,2,18,11831,0
3,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,SET,2,18,11831,0
4,5,Ercan Seyma ,OH,0,0,0,0,,TUR,SET,2,18,11831,0
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,SET,2,18,11831,0
6,7,Baladin Hande ,OH,0,0,0,0,,TUR,SET,2,18,11831,0
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,SET,2,18,11831,0
8,9,Diken Meliha ,O,0,0,0,0,,TUR,SET,2,18,11831,0
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SET,2,18,11831,0
10,13,Boz Meryem ,O,0,0,0,0,,TUR,SET,2,18,11831,0
11,14,Erdem Dündar Eda (C),MB,0,0,1,1,0.00,TUR,SET,2,18,11831,0
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,SET,2,18,11831,0
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,SET,2,18,11831,0
0,3,Özbay Cansu ,S,1,0,15,16,6.25,TUR,SET,3,25,11831,1
1,11,Aydemir Akyol Naz ,S,1,0,19,20,5.00,TUR,SET,3,25,11831,1
2,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,SET,3,25,11831,1
3,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,SET,3,25,11831,1
