Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,12,Orthmann Hanna ,OH,18,5,14,37,35.14,GER,ATTACK,0,0,16024,
1,9,Alsmeier Lina ,OH,10,4,18,32,18.75,GER,ATTACK,0,0,16024,
2,10,Stigrot Lena ,OH,8,6,14,28,7.14,GER,ATTACK,0,0,16024,
3,21,Weitzel Camilla ,MB,7,2,5,14,35.71,GER,ATTACK,0,0,16024,
4,22,Strubbe Monique ,MB,3,1,4,8,25.0,GER,ATTACK,0,0,16024,
5,14,Schölzel Marie ,MB,2,2,1,5,0.0,GER,ATTACK,0,0,16024,
6,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,ATTACK,0,0,16024,
7,2,Kästner Pia ,S,0,0,1,1,0.0,GER,ATTACK,0,0,16024,
8,3,Cesar Annie ,L,0,0,0,0,,GER,ATTACK,0,0,16024,
9,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,0,0,16024,
10,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,0,0,16024,
11,6,Stautz Antonia ,OH,0,0,0,0,,GER,ATTACK,0,0,16024,
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,ATTACK,0,0,16024,
13,25,Maase Rica ,O,0,0,0,0,,GER,ATTACK,0,0,16024,
0,10,Stigrot Lena ,OH,6,1,5,12,41.67,GER,ATTACK,1,25,16024,1.0
1,12,Orthmann Hanna ,OH,4,1,6,11,27.27,GER,ATTACK,1,25,16024,1.0
2,9,Alsmeier Lina ,OH,2,2,1,5,0.0,GER,ATTACK,1,25,16024,1.0
3,14,Schölzel Marie ,MB,1,1,0,2,0.0,GER,ATTACK,1,25,16024,1.0
4,21,Weitzel Camilla ,MB,1,0,1,2,50.0,GER,ATTACK,1,25,16024,1.0
5,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
6,2,Kästner Pia ,S,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
7,3,Cesar Annie ,L,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
8,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
9,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
10,6,Stautz Antonia ,OH,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
11,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,ATTACK,1,25,16024,1.0
