Unnamed: 0,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,2,Kästner Pia ,S,10,3,16,43.75,GER,DIG,0,0,16024,
1,4,Pogany Anna (C),L,9,8,24,4.17,GER,DIG,0,0,16024,
2,12,Orthmann Hanna ,OH,8,1,12,58.33,GER,DIG,0,0,16024,
3,10,Stigrot Lena ,OH,7,0,11,63.64,GER,DIG,0,0,16024,
4,9,Alsmeier Lina ,OH,4,3,14,7.14,GER,DIG,0,0,16024,
5,21,Weitzel Camilla ,MB,2,1,6,16.67,GER,DIG,0,0,16024,
6,1,Agbortabi Vanessa ,OH,1,0,2,50.0,GER,DIG,0,0,16024,
7,22,Strubbe Monique ,MB,1,0,2,50.0,GER,DIG,0,0,16024,
8,3,Cesar Annie ,L,0,0,0,,GER,DIG,0,0,16024,
9,5,Glaab Corina ,S,0,0,0,,GER,DIG,0,0,16024,
10,6,Stautz Antonia ,OH,0,0,0,,GER,DIG,0,0,16024,
11,14,Schölzel Marie ,MB,0,0,1,0.0,GER,DIG,0,0,16024,
12,16,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,0,0,16024,
13,25,Maase Rica ,O,0,0,0,,GER,DIG,0,0,16024,
0,2,Kästner Pia ,S,6,0,7,85.71,GER,DIG,1,25,16024,1.0
1,10,Stigrot Lena ,OH,3,0,3,100.0,GER,DIG,1,25,16024,1.0
2,4,Pogany Anna (C),L,2,0,5,40.0,GER,DIG,1,25,16024,1.0
3,9,Alsmeier Lina ,OH,2,0,4,50.0,GER,DIG,1,25,16024,1.0
4,12,Orthmann Hanna ,OH,1,0,1,100.0,GER,DIG,1,25,16024,1.0
5,21,Weitzel Camilla ,MB,1,1,2,0.0,GER,DIG,1,25,16024,1.0
6,1,Agbortabi Vanessa ,OH,0,0,0,,GER,DIG,1,25,16024,1.0
7,3,Cesar Annie ,L,0,0,0,,GER,DIG,1,25,16024,1.0
8,5,Glaab Corina ,S,0,0,0,,GER,DIG,1,25,16024,1.0
9,6,Stautz Antonia ,OH,0,0,0,,GER,DIG,1,25,16024,1.0
10,14,Schölzel Marie ,MB,0,0,1,0.0,GER,DIG,1,25,16024,1.0
11,16,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,1,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,1,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,,GER,DIG,1,25,16024,1.0
0,4,Pogany Anna (C),L,3,4,9,-11.11,GER,DIG,2,25,16024,1.0
1,12,Orthmann Hanna ,OH,3,0,6,50.0,GER,DIG,2,25,16024,1.0
2,2,Kästner Pia ,S,2,1,5,20.0,GER,DIG,2,25,16024,1.0
3,1,Agbortabi Vanessa ,OH,1,0,1,100.0,GER,DIG,2,25,16024,1.0
4,10,Stigrot Lena ,OH,1,0,2,50.0,GER,DIG,2,25,16024,1.0
5,3,Cesar Annie ,L,0,0,0,,GER,DIG,2,25,16024,1.0
6,5,Glaab Corina ,S,0,0,0,,GER,DIG,2,25,16024,1.0
7,6,Stautz Antonia ,OH,0,0,0,,GER,DIG,2,25,16024,1.0
8,9,Alsmeier Lina ,OH,0,0,3,0.0,GER,DIG,2,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,,GER,DIG,2,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,2,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,1,0.0,GER,DIG,2,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,2,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,,GER,DIG,2,25,16024,1.0
0,4,Pogany Anna (C),L,3,2,6,16.67,GER,DIG,3,20,16024,0.0
1,9,Alsmeier Lina ,OH,2,2,4,0.0,GER,DIG,3,20,16024,0.0
2,10,Stigrot Lena ,OH,1,0,2,50.0,GER,DIG,3,20,16024,0.0
3,12,Orthmann Hanna ,OH,1,0,1,100.0,GER,DIG,3,20,16024,0.0
4,22,Strubbe Monique ,MB,1,0,1,100.0,GER,DIG,3,20,16024,0.0
5,1,Agbortabi Vanessa ,OH,0,0,0,,GER,DIG,3,20,16024,0.0
6,2,Kästner Pia ,S,0,2,2,-100.0,GER,DIG,3,20,16024,0.0
7,3,Cesar Annie ,L,0,0,0,,GER,DIG,3,20,16024,0.0
8,5,Glaab Corina ,S,0,0,0,,GER,DIG,3,20,16024,0.0
9,6,Stautz Antonia ,OH,0,0,0,,GER,DIG,3,20,16024,0.0
10,14,Schölzel Marie ,MB,0,0,0,,GER,DIG,3,20,16024,0.0
11,16,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,3,20,16024,0.0
12,21,Weitzel Camilla ,MB,0,0,1,0.0,GER,DIG,3,20,16024,0.0
13,25,Maase Rica ,O,0,0,0,,GER,DIG,3,20,16024,0.0
0,12,Orthmann Hanna ,OH,3,1,4,50.0,GER,DIG,4,25,16024,1.0
1,2,Kästner Pia ,S,2,0,2,100.0,GER,DIG,4,25,16024,1.0
2,10,Stigrot Lena ,OH,2,0,4,50.0,GER,DIG,4,25,16024,1.0
3,4,Pogany Anna (C),L,1,2,4,-25.0,GER,DIG,4,25,16024,1.0
4,21,Weitzel Camilla ,MB,1,0,2,50.0,GER,DIG,4,25,16024,1.0
5,1,Agbortabi Vanessa ,OH,0,0,1,0.0,GER,DIG,4,25,16024,1.0
6,3,Cesar Annie ,L,0,0,0,,GER,DIG,4,25,16024,1.0
7,5,Glaab Corina ,S,0,0,0,,GER,DIG,4,25,16024,1.0
8,6,Stautz Antonia ,OH,0,0,0,,GER,DIG,4,25,16024,1.0
9,9,Alsmeier Lina ,OH,0,1,3,-33.33,GER,DIG,4,25,16024,1.0
10,14,Schölzel Marie ,MB,0,0,0,,GER,DIG,4,25,16024,1.0
11,16,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,4,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,1,0.0,GER,DIG,4,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,,GER,DIG,4,25,16024,1.0
0,1,Knip Kirsten ,L,7,7,20,0.0,NED,DIG,0,0,16024,
1,3,Jasper Hester ,OH,7,1,10,60.0,NED,DIG,0,0,16024,
2,5,Knollema Jolien ,OH,5,1,12,33.33,NED,DIG,0,0,16024,
3,24,Mulder Vera ,OH,5,3,8,25.0,NED,DIG,0,0,16024,
4,26,Dambrink Elles ,O,5,0,7,71.43,NED,DIG,0,0,16024,
5,23,Timmerman Eline ,MB,3,1,7,28.57,NED,DIG,0,0,16024,
6,14,Dijkema Laura (C),S,2,1,6,16.67,NED,DIG,0,0,16024,
7,16,Baijens Indy ,MB,2,1,5,20.0,NED,DIG,0,0,16024,
8,10,van Aalen Sarah ,S,1,0,4,25.0,NED,DIG,0,0,16024,
