Unnamed: 0,Player No,Player Name,Position,Successful,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,10,Stigrot Lena ,OH,9,2,17,28,25.0,GER,RECEPTION,0,0,16024,
1,9,Alsmeier Lina ,OH,8,3,22,33,15.15,GER,RECEPTION,0,0,16024,
2,4,Pogany Anna (C),L,6,1,7,14,35.71,GER,RECEPTION,0,0,16024,
3,1,Agbortabi Vanessa ,OH,0,0,1,1,0.0,GER,RECEPTION,0,0,16024,
4,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,0,0,16024,
5,3,Cesar Annie ,L,0,0,0,0,,GER,RECEPTION,0,0,16024,
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,0,0,16024,
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,RECEPTION,0,0,16024,
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,RECEPTION,0,0,16024,
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,0,0,16024,
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,0,0,16024,
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,0,0,16024,
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,0,0,16024,
13,25,Maase Rica ,O,0,0,0,0,,GER,RECEPTION,0,0,16024,
0,4,Pogany Anna (C),L,2,1,3,6,16.67,GER,RECEPTION,1,25,16024,1.0
1,9,Alsmeier Lina ,OH,1,1,4,6,0.0,GER,RECEPTION,1,25,16024,1.0
2,10,Stigrot Lena ,OH,1,0,4,5,20.0,GER,RECEPTION,1,25,16024,1.0
3,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
4,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
5,3,Cesar Annie ,L,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,RECEPTION,1,25,16024,1.0
0,9,Alsmeier Lina ,OH,3,0,4,7,42.86,GER,RECEPTION,2,25,16024,1.0
1,10,Stigrot Lena ,OH,2,1,5,8,12.5,GER,RECEPTION,2,25,16024,1.0
2,4,Pogany Anna (C),L,1,0,3,4,25.0,GER,RECEPTION,2,25,16024,1.0
3,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
4,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
5,3,Cesar Annie ,L,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,RECEPTION,2,25,16024,1.0
0,10,Stigrot Lena ,OH,3,0,6,9,33.33,GER,RECEPTION,3,20,16024,0.0
1,4,Pogany Anna (C),L,1,0,0,1,100.0,GER,RECEPTION,3,20,16024,0.0
2,9,Alsmeier Lina ,OH,1,1,10,12,0.0,GER,RECEPTION,3,20,16024,0.0
3,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
4,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
5,3,Cesar Annie ,L,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
13,25,Maase Rica ,O,0,0,0,0,,GER,RECEPTION,3,20,16024,0.0
0,9,Alsmeier Lina ,OH,3,1,4,8,25.0,GER,RECEPTION,4,25,16024,1.0
1,10,Stigrot Lena ,OH,3,1,2,6,33.33,GER,RECEPTION,4,25,16024,1.0
2,4,Pogany Anna (C),L,2,0,1,3,66.67,GER,RECEPTION,4,25,16024,1.0
3,1,Agbortabi Vanessa ,OH,0,0,1,1,0.0,GER,RECEPTION,4,25,16024,1.0
4,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
5,3,Cesar Annie ,L,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,RECEPTION,4,25,16024,1.0
0,5,Knollema Jolien ,OH,6,5,28,39,2.56,NED,RECEPTION,0,0,16024,
1,3,Jasper Hester ,OH,3,1,15,19,10.53,NED,RECEPTION,0,0,16024,
2,33,Marring Nova ,OH,2,1,10,13,7.69,NED,RECEPTION,0,0,16024,
3,1,Knip Kirsten ,L,1,2,9,12,-8.33,NED,RECEPTION,0,0,16024,
4,23,Timmerman Eline ,MB,1,0,0,1,100.0,NED,RECEPTION,0,0,16024,
5,10,van Aalen Sarah ,S,0,0,0,0,,NED,RECEPTION,0,0,16024,
6,13,de Haan Jolijn ,O,0,0,0,0,,NED,RECEPTION,0,0,16024,
7,14,Dijkema Laura (C),S,0,0,0,0,,NED,RECEPTION,0,0,16024,
8,16,Baijens Indy ,MB,0,0,1,1,0.0,NED,RECEPTION,0,0,16024,
9,17,Vos Iris ,OH,0,0,1,1,0.0,NED,RECEPTION,0,0,16024,
10,21,Stuut Britte ,MB,0,0,0,0,,NED,RECEPTION,0,0,16024,
11,24,Mulder Vera ,OH,0,0,0,0,,NED,RECEPTION,0,0,16024,
12,25,Reesink Florien ,L,0,0,0,0,,NED,RECEPTION,0,0,16024,
13,26,Dambrink Elles ,O,0,0,1,1,0.0,NED,RECEPTION,0,0,16024,
0,5,Knollema Jolien ,OH,2,1,8,11,9.09,NED,RECEPTION,1,21,16024,0.0
1,1,Knip Kirsten ,L,1,2,3,6,-16.67,NED,RECEPTION,1,21,16024,0.0
2,3,Jasper Hester ,OH,0,1,5,6,-16.67,NED,RECEPTION,1,21,16024,0.0
3,10,van Aalen Sarah ,S,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
4,13,de Haan Jolijn ,O,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
5,14,Dijkema Laura (C),S,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
6,16,Baijens Indy ,MB,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
7,17,Vos Iris ,OH,0,0,0,0,,NED,RECEPTION,1,21,16024,0.0
