Unnamed: 0,Player No,Player Name,Position,Total ABS,Attack Points,Block Points,Serve Points,Errors, Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,12,Orthmann Hanna ,OH,24,18,1,5,,25.81,GER,SCORING,0,0,16024,
1,9,Alsmeier Lina ,OH,15,10,5,0,,15.79,GER,SCORING,0,0,16024,
2,21,Weitzel Camilla ,MB,12,7,4,1,,8.89,GER,SCORING,0,0,16024,
3,10,Stigrot Lena ,OH,9,8,0,1,,2.22,GER,SCORING,0,0,16024,
4,22,Strubbe Monique ,MB,5,3,1,1,,8.33,GER,SCORING,0,0,16024,
5,14,Schölzel Marie ,MB,2,2,0,0,,-25.0,GER,SCORING,0,0,16024,
6,6,Stautz Antonia ,OH,1,0,0,1,,20.0,GER,SCORING,0,0,16024,
7,1,Agbortabi Vanessa ,OH,0,0,0,0,,,GER,SCORING,0,0,16024,
8,2,Kästner Pia ,S,0,0,0,0,,-25.0,GER,SCORING,0,0,16024,
9,3,Cesar Annie ,L,0,0,0,0,,,GER,SCORING,0,0,16024,
10,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,0,0,16024,
11,5,Glaab Corina ,S,0,0,0,0,,,GER,SCORING,0,0,16024,
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,0,0,16024,
13,25,Maase Rica ,O,0,0,0,0,,,GER,SCORING,0,0,16024,
0,12,Orthmann Hanna ,OH,7,4,0,3,,33.33,GER,SCORING,1,25,16024,1.0
1,10,Stigrot Lena ,OH,6,6,0,0,,22.22,GER,SCORING,1,25,16024,1.0
2,9,Alsmeier Lina ,OH,4,2,2,0,,7.69,GER,SCORING,1,25,16024,1.0
3,21,Weitzel Camilla ,MB,2,1,0,1,,11.11,GER,SCORING,1,25,16024,1.0
4,14,Schölzel Marie ,MB,1,1,0,0,,-25.0,GER,SCORING,1,25,16024,1.0
5,1,Agbortabi Vanessa ,OH,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
6,2,Kästner Pia ,S,0,0,0,0,,-33.33,GER,SCORING,1,25,16024,1.0
7,3,Cesar Annie ,L,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
8,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
9,5,Glaab Corina ,S,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
10,6,Stautz Antonia ,OH,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
11,16,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,,GER,SCORING,1,25,16024,1.0
0,12,Orthmann Hanna ,OH,8,6,0,2,,38.89,GER,SCORING,2,25,16024,1.0
1,21,Weitzel Camilla ,MB,3,2,1,0,,28.57,GER,SCORING,2,25,16024,1.0
2,22,Strubbe Monique ,MB,3,2,0,1,,10.0,GER,SCORING,2,25,16024,1.0
3,9,Alsmeier Lina ,OH,2,0,2,0,,20.0,GER,SCORING,2,25,16024,1.0
4,14,Schölzel Marie ,MB,1,1,0,0,,-25.0,GER,SCORING,2,25,16024,1.0
5,1,Agbortabi Vanessa ,OH,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
6,2,Kästner Pia ,S,0,0,0,0,,-30.0,GER,SCORING,2,25,16024,1.0
7,3,Cesar Annie ,L,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
8,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
9,5,Glaab Corina ,S,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
10,6,Stautz Antonia ,OH,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
11,10,Stigrot Lena ,OH,0,0,0,0,,-11.11,GER,SCORING,2,25,16024,1.0
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,,GER,SCORING,2,25,16024,1.0
0,9,Alsmeier Lina ,OH,5,4,1,0,,23.53,GER,SCORING,3,20,16024,0.0
1,12,Orthmann Hanna ,OH,4,4,0,0,,0.0,GER,SCORING,3,20,16024,0.0
2,21,Weitzel Camilla ,MB,4,1,3,0,,6.67,GER,SCORING,3,20,16024,0.0
3,10,Stigrot Lena ,OH,1,1,0,0,,-27.27,GER,SCORING,3,20,16024,0.0
4,22,Strubbe Monique ,MB,1,0,1,0,,12.5,GER,SCORING,3,20,16024,0.0
5,1,Agbortabi Vanessa ,OH,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
6,2,Kästner Pia ,S,0,0,0,0,,-33.33,GER,SCORING,3,20,16024,0.0
7,3,Cesar Annie ,L,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
8,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
9,5,Glaab Corina ,S,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
10,6,Stautz Antonia ,OH,0,0,0,0,,0.0,GER,SCORING,3,20,16024,0.0
11,14,Schölzel Marie ,MB,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
13,25,Maase Rica ,O,0,0,0,0,,,GER,SCORING,3,20,16024,0.0
0,12,Orthmann Hanna ,OH,5,4,1,0,,23.08,GER,SCORING,4,25,16024,1.0
1,9,Alsmeier Lina ,OH,4,4,0,0,,11.76,GER,SCORING,4,25,16024,1.0
2,21,Weitzel Camilla ,MB,3,3,0,0,,0.0,GER,SCORING,4,25,16024,1.0
3,10,Stigrot Lena ,OH,2,1,0,1,,14.29,GER,SCORING,4,25,16024,1.0
4,6,Stautz Antonia ,OH,1,0,0,1,,25.0,GER,SCORING,4,25,16024,1.0
5,22,Strubbe Monique ,MB,1,1,0,0,,0.0,GER,SCORING,4,25,16024,1.0
6,1,Agbortabi Vanessa ,OH,0,0,0,0,,,GER,SCORING,4,25,16024,1.0
7,2,Kästner Pia ,S,0,0,0,0,,0.0,GER,SCORING,4,25,16024,1.0
