Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,12,Orthmann Hanna ,OH,5,2,11,18,16.67,GER,SERVE,0,0,16024,
1,6,Stautz Antonia ,OH,1,0,4,5,20.0,GER,SERVE,0,0,16024,
2,10,Stigrot Lena ,OH,1,0,10,11,9.09,GER,SERVE,0,0,16024,
3,21,Weitzel Camilla ,MB,1,2,11,14,-7.14,GER,SERVE,0,0,16024,
4,22,Strubbe Monique ,MB,1,1,10,12,0.0,GER,SERVE,0,0,16024,
5,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,SERVE,0,0,16024,
6,2,Kästner Pia ,S,0,1,15,16,-6.25,GER,SERVE,0,0,16024,
7,3,Cesar Annie ,L,0,0,0,0,,GER,SERVE,0,0,16024,
8,4,Pogany Anna (C),L,0,0,0,0,,GER,SERVE,0,0,16024,
9,5,Glaab Corina ,S,0,0,0,0,,GER,SERVE,0,0,16024,
10,9,Alsmeier Lina ,OH,0,0,16,16,0.0,GER,SERVE,0,0,16024,
11,14,Schölzel Marie ,MB,0,0,2,2,0.0,GER,SERVE,0,0,16024,
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SERVE,0,0,16024,
13,25,Maase Rica ,O,0,0,0,0,,GER,SERVE,0,0,16024,
0,12,Orthmann Hanna ,OH,3,0,4,7,42.86,GER,SERVE,1,25,16024,1.0
1,21,Weitzel Camilla ,MB,1,1,2,4,0.0,GER,SERVE,1,25,16024,1.0
2,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,SERVE,1,25,16024,1.0
3,2,Kästner Pia ,S,0,0,3,3,0.0,GER,SERVE,1,25,16024,1.0
4,3,Cesar Annie ,L,0,0,0,0,,GER,SERVE,1,25,16024,1.0
5,4,Pogany Anna (C),L,0,0,0,0,,GER,SERVE,1,25,16024,1.0
6,5,Glaab Corina ,S,0,0,0,0,,GER,SERVE,1,25,16024,1.0
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,SERVE,1,25,16024,1.0
8,9,Alsmeier Lina ,OH,0,0,5,5,0.0,GER,SERVE,1,25,16024,1.0
9,10,Stigrot Lena ,OH,0,0,3,3,0.0,GER,SERVE,1,25,16024,1.0
10,14,Schölzel Marie ,MB,0,0,2,2,0.0,GER,SERVE,1,25,16024,1.0
11,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SERVE,1,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SERVE,1,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SERVE,1,25,16024,1.0
0,12,Orthmann Hanna ,OH,2,0,3,5,40.0,GER,SERVE,2,25,16024,1.0
1,22,Strubbe Monique ,MB,1,1,3,5,0.0,GER,SERVE,2,25,16024,1.0
2,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,SERVE,2,25,16024,1.0
3,2,Kästner Pia ,S,0,0,6,6,0.0,GER,SERVE,2,25,16024,1.0
4,3,Cesar Annie ,L,0,0,0,0,,GER,SERVE,2,25,16024,1.0
5,4,Pogany Anna (C),L,0,0,0,0,,GER,SERVE,2,25,16024,1.0
6,5,Glaab Corina ,S,0,0,0,0,,GER,SERVE,2,25,16024,1.0
7,6,Stautz Antonia ,OH,0,0,0,0,,GER,SERVE,2,25,16024,1.0
8,9,Alsmeier Lina ,OH,0,0,3,3,0.0,GER,SERVE,2,25,16024,1.0
9,10,Stigrot Lena ,OH,0,0,3,3,0.0,GER,SERVE,2,25,16024,1.0
10,14,Schölzel Marie ,MB,0,0,0,0,,GER,SERVE,2,25,16024,1.0
11,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SERVE,2,25,16024,1.0
12,21,Weitzel Camilla ,MB,0,0,3,3,0.0,GER,SERVE,2,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SERVE,2,25,16024,1.0
0,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,SERVE,3,20,16024,0.0
1,2,Kästner Pia ,S,0,1,2,3,-33.33,GER,SERVE,3,20,16024,0.0
2,3,Cesar Annie ,L,0,0,0,0,,GER,SERVE,3,20,16024,0.0
3,4,Pogany Anna (C),L,0,0,0,0,,GER,SERVE,3,20,16024,0.0
4,5,Glaab Corina ,S,0,0,0,0,,GER,SERVE,3,20,16024,0.0
5,6,Stautz Antonia ,OH,0,0,1,1,0.0,GER,SERVE,3,20,16024,0.0
6,9,Alsmeier Lina ,OH,0,0,5,5,0.0,GER,SERVE,3,20,16024,0.0
7,10,Stigrot Lena ,OH,0,0,1,1,0.0,GER,SERVE,3,20,16024,0.0
8,12,Orthmann Hanna ,OH,0,1,2,3,-33.33,GER,SERVE,3,20,16024,0.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,SERVE,3,20,16024,0.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SERVE,3,20,16024,0.0
11,21,Weitzel Camilla ,MB,0,1,1,2,-50.0,GER,SERVE,3,20,16024,0.0
12,22,Strubbe Monique ,MB,0,0,5,5,0.0,GER,SERVE,3,20,16024,0.0
