Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,2,Kästner Pia ,S,26,0,81,107,24.3,GER,SET,0,0,16024,
1,1,Agbortabi Vanessa ,OH,0,0,2,2,0.0,GER,SET,0,0,16024,
2,3,Cesar Annie ,L,0,0,0,0,,GER,SET,0,0,16024,
3,4,Pogany Anna (C),L,0,0,11,11,0.0,GER,SET,0,0,16024,
4,5,Glaab Corina ,S,0,0,0,0,,GER,SET,0,0,16024,
5,6,Stautz Antonia ,OH,0,0,0,0,,GER,SET,0,0,16024,
6,9,Alsmeier Lina ,OH,0,0,1,1,0.0,GER,SET,0,0,16024,
7,10,Stigrot Lena ,OH,0,0,2,2,0.0,GER,SET,0,0,16024,
8,12,Orthmann Hanna ,OH,0,0,2,2,0.0,GER,SET,0,0,16024,
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,SET,0,0,16024,
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,0,0,16024,
11,21,Weitzel Camilla ,MB,0,0,2,2,0.0,GER,SET,0,0,16024,
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,0,0,16024,
13,25,Maase Rica ,O,0,0,0,0,,GER,SET,0,0,16024,
0,2,Kästner Pia ,S,5,0,19,24,20.83,GER,SET,1,25,16024,1.0
1,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,SET,1,25,16024,1.0
2,3,Cesar Annie ,L,0,0,0,0,,GER,SET,1,25,16024,1.0
3,4,Pogany Anna (C),L,0,0,7,7,0.0,GER,SET,1,25,16024,1.0
4,5,Glaab Corina ,S,0,0,0,0,,GER,SET,1,25,16024,1.0
5,6,Stautz Antonia ,OH,0,0,0,0,,GER,SET,1,25,16024,1.0
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,1,25,16024,1.0
7,10,Stigrot Lena ,OH,0,0,0,0,,GER,SET,1,25,16024,1.0
8,12,Orthmann Hanna ,OH,0,0,1,1,0.0,GER,SET,1,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,SET,1,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,1,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,1,1,0.0,GER,SET,1,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,1,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SET,1,25,16024,1.0
0,2,Kästner Pia ,S,7,0,19,26,26.92,GER,SET,2,25,16024,1.0
1,1,Agbortabi Vanessa ,OH,0,0,0,0,,GER,SET,2,25,16024,1.0
2,3,Cesar Annie ,L,0,0,0,0,,GER,SET,2,25,16024,1.0
3,4,Pogany Anna (C),L,0,0,2,2,0.0,GER,SET,2,25,16024,1.0
4,5,Glaab Corina ,S,0,0,0,0,,GER,SET,2,25,16024,1.0
5,6,Stautz Antonia ,OH,0,0,0,0,,GER,SET,2,25,16024,1.0
6,9,Alsmeier Lina ,OH,0,0,1,1,0.0,GER,SET,2,25,16024,1.0
7,10,Stigrot Lena ,OH,0,0,0,0,,GER,SET,2,25,16024,1.0
8,12,Orthmann Hanna ,OH,0,0,1,1,0.0,GER,SET,2,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,SET,2,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,2,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,SET,2,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,2,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SET,2,25,16024,1.0
0,2,Kästner Pia ,S,5,0,25,30,16.67,GER,SET,3,20,16024,0.0
1,1,Agbortabi Vanessa ,OH,0,0,1,1,0.0,GER,SET,3,20,16024,0.0
2,3,Cesar Annie ,L,0,0,0,0,,GER,SET,3,20,16024,0.0
3,4,Pogany Anna (C),L,0,0,0,0,,GER,SET,3,20,16024,0.0
4,5,Glaab Corina ,S,0,0,0,0,,GER,SET,3,20,16024,0.0
5,6,Stautz Antonia ,OH,0,0,0,0,,GER,SET,3,20,16024,0.0
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,3,20,16024,0.0
7,10,Stigrot Lena ,OH,0,0,1,1,0.0,GER,SET,3,20,16024,0.0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,SET,3,20,16024,0.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,SET,3,20,16024,0.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,3,20,16024,0.0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,SET,3,20,16024,0.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,3,20,16024,0.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SET,3,20,16024,0.0
0,2,Kästner Pia ,S,9,0,18,27,33.33,GER,SET,4,25,16024,1.0
1,1,Agbortabi Vanessa ,OH,0,0,1,1,0.0,GER,SET,4,25,16024,1.0
2,3,Cesar Annie ,L,0,0,0,0,,GER,SET,4,25,16024,1.0
3,4,Pogany Anna (C),L,0,0,2,2,0.0,GER,SET,4,25,16024,1.0
4,5,Glaab Corina ,S,0,0,0,0,,GER,SET,4,25,16024,1.0
5,6,Stautz Antonia ,OH,0,0,0,0,,GER,SET,4,25,16024,1.0
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,4,25,16024,1.0
7,10,Stigrot Lena ,OH,0,0,1,1,0.0,GER,SET,4,25,16024,1.0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,SET,4,25,16024,1.0
9,14,Schölzel Marie ,MB,0,0,0,0,,GER,SET,4,25,16024,1.0
10,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,4,25,16024,1.0
11,21,Weitzel Camilla ,MB,0,0,1,1,0.0,GER,SET,4,25,16024,1.0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,4,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SET,4,25,16024,1.0
0,10,van Aalen Sarah ,S,7,0,43,50,14.0,NED,SET,0,0,16024,
1,14,Dijkema Laura (C),S,7,1,61,69,8.7,NED,SET,0,0,16024,
2,1,Knip Kirsten ,L,0,0,5,5,0.0,NED,SET,0,0,16024,
3,3,Jasper Hester ,OH,0,0,2,2,0.0,NED,SET,0,0,16024,
4,5,Knollema Jolien ,OH,0,0,1,1,0.0,NED,SET,0,0,16024,
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,SET,0,0,16024,
6,16,Baijens Indy ,MB,0,0,1,1,0.0,NED,SET,0,0,16024,
7,17,Vos Iris ,OH,0,0,0,0,,NED,SET,0,0,16024,
8,21,Stuut Britte ,MB,0,0,0,0,,NED,SET,0,0,16024,
9,23,Timmerman Eline ,MB,0,0,1,1,0.0,NED,SET,0,0,16024,
10,24,Mulder Vera ,OH,0,0,2,2,0.0,NED,SET,0,0,16024,
11,25,Reesink Florien ,L,0,0,0,0,,NED,SET,0,0,16024,
12,26,Dambrink Elles ,O,0,0,2,2,0.0,NED,SET,0,0,16024,
13,33,Marring Nova ,OH,0,0,1,1,0.0,NED,SET,0,0,16024,
0,14,Dijkema Laura (C),S,3,0,26,29,10.34,NED,SET,1,21,16024,0.0
1,1,Knip Kirsten ,L,0,0,1,1,0.0,NED,SET,1,21,16024,0.0
2,3,Jasper Hester ,OH,0,0,1,1,0.0,NED,SET,1,21,16024,0.0
3,5,Knollema Jolien ,OH,0,0,1,1,0.0,NED,SET,1,21,16024,0.0
4,10,van Aalen Sarah ,S,0,0,0,0,,NED,SET,1,21,16024,0.0
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,SET,1,21,16024,0.0
6,16,Baijens Indy ,MB,0,0,0,0,,NED,SET,1,21,16024,0.0
7,17,Vos Iris ,OH,0,0,0,0,,NED,SET,1,21,16024,0.0
8,21,Stuut Britte ,MB,0,0,0,0,,NED,SET,1,21,16024,0.0
9,23,Timmerman Eline ,MB,0,0,1,1,0.0,NED,SET,1,21,16024,0.0
10,24,Mulder Vera ,OH,0,0,0,0,,NED,SET,1,21,16024,0.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,SET,1,21,16024,0.0
12,26,Dambrink Elles ,O,0,0,1,1,0.0,NED,SET,1,21,16024,0.0
13,33,Marring Nova ,OH,0,0,0,0,,NED,SET,1,21,16024,0.0
0,14,Dijkema Laura (C),S,3,1,21,25,8.0,NED,SET,2,22,16024,0.0
1,10,van Aalen Sarah ,S,2,0,6,8,25.0,NED,SET,2,22,16024,0.0
2,1,Knip Kirsten ,L,0,0,2,2,0.0,NED,SET,2,22,16024,0.0
3,3,Jasper Hester ,OH,0,0,0,0,,NED,SET,2,22,16024,0.0
4,5,Knollema Jolien ,OH,0,0,0,0,,NED,SET,2,22,16024,0.0
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,SET,2,22,16024,0.0
6,16,Baijens Indy ,MB,0,0,0,0,,NED,SET,2,22,16024,0.0
7,17,Vos Iris ,OH,0,0,0,0,,NED,SET,2,22,16024,0.0
8,21,Stuut Britte ,MB,0,0,0,0,,NED,SET,2,22,16024,0.0
9,23,Timmerman Eline ,MB,0,0,0,0,,NED,SET,2,22,16024,0.0
10,24,Mulder Vera ,OH,0,0,1,1,0.0,NED,SET,2,22,16024,0.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,SET,2,22,16024,0.0
12,26,Dambrink Elles ,O,0,0,1,1,0.0,NED,SET,2,22,16024,0.0
13,33,Marring Nova ,OH,0,0,0,0,,NED,SET,2,22,16024,0.0
0,14,Dijkema Laura (C),S,1,0,14,15,6.67,NED,SET,3,25,16024,1.0
1,1,Knip Kirsten ,L,0,0,1,1,0.0,NED,SET,3,25,16024,1.0
2,3,Jasper Hester ,OH,0,0,0,0,,NED,SET,3,25,16024,1.0
3,5,Knollema Jolien ,OH,0,0,0,0,,NED,SET,3,25,16024,1.0
4,10,van Aalen Sarah ,S,0,0,15,15,0.0,NED,SET,3,25,16024,1.0
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,SET,3,25,16024,1.0
6,16,Baijens Indy ,MB,0,0,1,1,0.0,NED,SET,3,25,16024,1.0
7,17,Vos Iris ,OH,0,0,0,0,,NED,SET,3,25,16024,1.0
8,21,Stuut Britte ,MB,0,0,0,0,,NED,SET,3,25,16024,1.0
9,23,Timmerman Eline ,MB,0,0,0,0,,NED,SET,3,25,16024,1.0
10,24,Mulder Vera ,OH,0,0,0,0,,NED,SET,3,25,16024,1.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,SET,3,25,16024,1.0
12,26,Dambrink Elles ,O,0,0,0,0,,NED,SET,3,25,16024,1.0
13,33,Marring Nova ,OH,0,0,0,0,,NED,SET,3,25,16024,1.0
0,10,van Aalen Sarah ,S,5,0,22,27,18.52,NED,SET,4,22,16024,0.0
1,1,Knip Kirsten ,L,0,0,1,1,0.0,NED,SET,4,22,16024,0.0
2,3,Jasper Hester ,OH,0,0,1,1,0.0,NED,SET,4,22,16024,0.0
3,5,Knollema Jolien ,OH,0,0,0,0,,NED,SET,4,22,16024,0.0
4,13,de Haan Jolijn ,O,0,0,0,0,,NED,SET,4,22,16024,0.0
5,14,Dijkema Laura (C),S,0,0,0,0,,NED,SET,4,22,16024,0.0
6,16,Baijens Indy ,MB,0,0,0,0,,NED,SET,4,22,16024,0.0
7,17,Vos Iris ,OH,0,0,0,0,,NED,SET,4,22,16024,0.0
8,21,Stuut Britte ,MB,0,0,0,0,,NED,SET,4,22,16024,0.0
9,23,Timmerman Eline ,MB,0,0,0,0,,NED,SET,4,22,16024,0.0
10,24,Mulder Vera ,OH,0,0,1,1,0.0,NED,SET,4,22,16024,0.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,SET,4,22,16024,0.0
12,26,Dambrink Elles ,O,0,0,0,0,,NED,SET,4,22,16024,0.0
13,33,Marring Nova ,OH,0,0,1,1,0.0,NED,SET,4,22,16024,0.0
0,4,Bosio Francesca ,S,25,0,110,135,18.52,ITA,SET,0,0,16026,
1,5,Battistoni Ilaria ,S,1,0,2,3,33.33,ITA,SET,0,0,16026,
2,2,Degradi Alice Carlotta ,OH,0,0,2,2,0.0,ITA,SET,0,0,16026,
3,11,Danesi Anna ,MB,0,0,1,1,0.0,ITA,SET,0,0,16026,
4,12,Mazzaro Alessia ,MB,0,0,1,1,0.0,ITA,SET,0,0,16026,
5,15,Nwakalor Sylvia Chinelo ,O,0,0,2,2,0.0,ITA,SET,0,0,16026,
6,16,D'Odorico Sofia ,OH,0,0,3,3,0.0,ITA,SET,0,0,16026,
7,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,SET,0,0,16026,
8,19,Squarcini Federica ,MB,0,0,0,0,,ITA,SET,0,0,16026,
9,20,Parrocchiale Beatrice ,L,0,0,8,8,0.0,ITA,SET,0,0,16026,
10,21,Omoruyi Oghosasere Loveth ,OH,0,0,3,3,0.0,ITA,SET,0,0,16026,
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,SET,0,0,16026,
12,32,Malual Adhuoljok John Majak ,O,0,0,2,2,0.0,ITA,SET,0,0,16026,
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,SET,0,0,16026,
0,4,Bosio Francesca ,S,4,0,23,27,14.81,ITA,SET,1,24,16026,0.0
1,5,Battistoni Ilaria ,S,1,0,2,3,33.33,ITA,SET,1,24,16026,0.0
2,2,Degradi Alice Carlotta ,OH,0,0,1,1,0.0,ITA,SET,1,24,16026,0.0
3,11,Danesi Anna ,MB,0,0,0,0,,ITA,SET,1,24,16026,0.0
4,12,Mazzaro Alessia ,MB,0,0,1,1,0.0,ITA,SET,1,24,16026,0.0
5,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,SET,1,24,16026,0.0
6,16,D'Odorico Sofia ,OH,0,0,0,0,,ITA,SET,1,24,16026,0.0
7,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,SET,1,24,16026,0.0
8,19,Squarcini Federica ,MB,0,0,0,0,,ITA,SET,1,24,16026,0.0
9,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,SET,1,24,16026,0.0
10,21,Omoruyi Oghosasere Loveth ,OH,0,0,1,1,0.0,ITA,SET,1,24,16026,0.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,SET,1,24,16026,0.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,SET,1,24,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,SET,1,24,16026,0.0
0,4,Bosio Francesca ,S,3,0,16,19,15.79,ITA,SET,2,25,16026,1.0
1,2,Degradi Alice Carlotta ,OH,0,0,1,1,0.0,ITA,SET,2,25,16026,1.0
2,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,SET,2,25,16026,1.0
3,11,Danesi Anna ,MB,0,0,0,0,,ITA,SET,2,25,16026,1.0
4,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,SET,2,25,16026,1.0
5,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,SET,2,25,16026,1.0
6,16,D'Odorico Sofia ,OH,0,0,0,0,,ITA,SET,2,25,16026,1.0
7,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,SET,2,25,16026,1.0
8,19,Squarcini Federica ,MB,0,0,0,0,,ITA,SET,2,25,16026,1.0
9,20,Parrocchiale Beatrice ,L,0,0,2,2,0.0,ITA,SET,2,25,16026,1.0
10,21,Omoruyi Oghosasere Loveth ,OH,0,0,1,1,0.0,ITA,SET,2,25,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,SET,2,25,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,SET,2,25,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,SET,2,25,16026,1.0
0,4,Bosio Francesca ,S,5,0,33,38,13.16,ITA,SET,3,27,16026,0.0
1,2,Degradi Alice Carlotta ,OH,0,0,0,0,,ITA,SET,3,27,16026,0.0
2,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,SET,3,27,16026,0.0
3,11,Danesi Anna ,MB,0,0,0,0,,ITA,SET,3,27,16026,0.0
4,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,SET,3,27,16026,0.0
5,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,SET,3,27,16026,0.0
6,16,D'Odorico Sofia ,OH,0,0,0,0,,ITA,SET,3,27,16026,0.0
7,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,SET,3,27,16026,0.0
8,19,Squarcini Federica ,MB,0,0,0,0,,ITA,SET,3,27,16026,0.0
9,20,Parrocchiale Beatrice ,L,0,0,2,2,0.0,ITA,SET,3,27,16026,0.0
10,21,Omoruyi Oghosasere Loveth ,OH,0,0,1,1,0.0,ITA,SET,3,27,16026,0.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,SET,3,27,16026,0.0
12,32,Malual Adhuoljok John Majak ,O,0,0,1,1,0.0,ITA,SET,3,27,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,SET,3,27,16026,0.0
0,4,Bosio Francesca ,S,10,0,29,39,25.64,ITA,SET,4,30,16026,1.0
1,2,Degradi Alice Carlotta ,OH,0,0,0,0,,ITA,SET,4,30,16026,1.0
2,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,SET,4,30,16026,1.0
3,11,Danesi Anna ,MB,0,0,0,0,,ITA,SET,4,30,16026,1.0
4,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,SET,4,30,16026,1.0
5,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,SET,4,30,16026,1.0
6,16,D'Odorico Sofia ,OH,0,0,1,1,0.0,ITA,SET,4,30,16026,1.0
7,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,SET,4,30,16026,1.0
