,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,14,Erdem Dündar Eda (C),MB,5,7,15,27,-7.41,TUR,BLOCK,0,0,11831,
1,9,Diken Meliha ,O,2,0,0,2,100.00,TUR,BLOCK,0,0,11831,
2,99,Karakurt Ebrar ,O,2,0,5,7,28.57,TUR,BLOCK,0,0,11831,
3,3,Özbay Cansu ,S,1,0,1,2,50.00,TUR,BLOCK,0,0,11831,
4,11,Aydemir Akyol Naz ,S,1,1,1,3,0.00,TUR,BLOCK,0,0,11831,
5,13,Boz Meryem ,O,1,1,3,5,0.00,TUR,BLOCK,0,0,11831,
6,19,Kalac Asli ,MB,1,4,6,11,-27.27,TUR,BLOCK,0,0,11831,
7,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,0,0,11831,
8,4,Ivegin Tugba ,OH,0,1,1,2,-50.00,TUR,BLOCK,0,0,11831,
9,5,Ercan Seyma ,OH,0,0,0,0,,TUR,BLOCK,0,0,11831,
10,6,Akman Kubra ,MB,0,0,0,0,,TUR,BLOCK,0,0,11831,
11,7,Baladin Hande ,OH,0,2,0,2,-100.00,TUR,BLOCK,0,0,11831,
12,8,Guveli Yasemin ,MB,0,3,1,4,-75.00,TUR,BLOCK,0,0,11831,
13,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,0,0,11831,
0,14,Erdem Dündar Eda (C),MB,2,2,3,7,0.00,TUR,BLOCK,1,25,11831,1
1,11,Aydemir Akyol Naz ,S,1,0,0,1,100.00,TUR,BLOCK,1,25,11831,1
2,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,1,25,11831,1
3,3,Özbay Cansu ,S,0,0,0,0,,TUR,BLOCK,1,25,11831,1
4,4,Ivegin Tugba ,OH,0,1,1,2,-50.00,TUR,BLOCK,1,25,11831,1
5,5,Ercan Seyma ,OH,0,0,0,0,,TUR,BLOCK,1,25,11831,1
6,6,Akman Kubra ,MB,0,0,0,0,,TUR,BLOCK,1,25,11831,1
7,7,Baladin Hande ,OH,0,0,0,0,,TUR,BLOCK,1,25,11831,1
8,8,Guveli Yasemin ,MB,0,1,0,1,-100.00,TUR,BLOCK,1,25,11831,1
9,9,Diken Meliha ,O,0,0,0,0,,TUR,BLOCK,1,25,11831,1
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,1,25,11831,1
11,13,Boz Meryem ,O,0,0,0,0,,TUR,BLOCK,1,25,11831,1
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,BLOCK,1,25,11831,1
13,99,Karakurt Ebrar ,O,0,0,1,1,0.00,TUR,BLOCK,1,25,11831,1
0,14,Erdem Dündar Eda (C),MB,1,1,1,3,0.00,TUR,BLOCK,2,18,11831,0
1,99,Karakurt Ebrar ,O,1,0,3,4,25.00,TUR,BLOCK,2,18,11831,0
2,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,2,18,11831,0
3,3,Özbay Cansu ,S,0,0,0,0,,TUR,BLOCK,2,18,11831,0
4,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,BLOCK,2,18,11831,0
5,5,Ercan Seyma ,OH,0,0,0,0,,TUR,BLOCK,2,18,11831,0
6,6,Akman Kubra ,MB,0,0,0,0,,TUR,BLOCK,2,18,11831,0
7,7,Baladin Hande ,OH,0,1,0,1,-100.00,TUR,BLOCK,2,18,11831,0
8,8,Guveli Yasemin ,MB,0,2,1,3,-66.67,TUR,BLOCK,2,18,11831,0
9,9,Diken Meliha ,O,0,0,0,0,,TUR,BLOCK,2,18,11831,0
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,2,18,11831,0
11,11,Aydemir Akyol Naz ,S,0,0,1,1,0.00,TUR,BLOCK,2,18,11831,0
12,13,Boz Meryem ,O,0,1,0,1,-100.00,TUR,BLOCK,2,18,11831,0
13,19,Kalac Asli ,MB,0,0,0,0,,TUR,BLOCK,2,18,11831,0
0,14,Erdem Dündar Eda (C),MB,2,2,3,7,0.00,TUR,BLOCK,3,25,11831,1
1,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,3,25,11831,1
2,3,Özbay Cansu ,S,0,0,0,0,,TUR,BLOCK,3,25,11831,1
3,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,BLOCK,3,25,11831,1
4,5,Ercan Seyma ,OH,0,0,0,0,,TUR,BLOCK,3,25,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,BLOCK,3,25,11831,1
6,7,Baladin Hande ,OH,0,0,0,0,,TUR,BLOCK,3,25,11831,1
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,BLOCK,3,25,11831,1
8,9,Diken Meliha ,O,0,0,0,0,,TUR,BLOCK,3,25,11831,1
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,3,25,11831,1
10,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,BLOCK,3,25,11831,1
11,13,Boz Meryem ,O,0,0,2,2,0.00,TUR,BLOCK,3,25,11831,1
12,19,Kalac Asli ,MB,0,2,0,2,-100.00,TUR,BLOCK,3,25,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,BLOCK,3,25,11831,1
0,19,Kalac Asli ,MB,1,2,3,6,-16.67,TUR,BLOCK,4,22,11831,0
1,99,Karakurt Ebrar ,O,1,0,1,2,50.00,TUR,BLOCK,4,22,11831,0
2,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,4,22,11831,0
3,3,Özbay Cansu ,S,0,0,1,1,0.00,TUR,BLOCK,4,22,11831,0
4,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,BLOCK,4,22,11831,0
5,5,Ercan Seyma ,OH,0,0,0,0,,TUR,BLOCK,4,22,11831,0
6,6,Akman Kubra ,MB,0,0,0,0,,TUR,BLOCK,4,22,11831,0
7,7,Baladin Hande ,OH,0,1,0,1,-100.00,TUR,BLOCK,4,22,11831,0
8,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,BLOCK,4,22,11831,0
9,9,Diken Meliha ,O,0,0,0,0,,TUR,BLOCK,4,22,11831,0
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,4,22,11831,0
11,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,BLOCK,4,22,11831,0
12,13,Boz Meryem ,O,0,0,1,1,0.00,TUR,BLOCK,4,22,11831,0
13,14,Erdem Dündar Eda (C),MB,0,2,3,5,-40.00,TUR,BLOCK,4,22,11831,0
