,Player No,Player Name,Position,Successful,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,2,Akoz Simge Sebnem ,L,11,2,8,21,42.86,TUR,RECEPTION,0,0,11831,
1,9,Diken Meliha ,O,8,0,19,27,29.63,TUR,RECEPTION,0,0,11831,
2,7,Baladin Hande ,OH,5,5,17,27,0.00,TUR,RECEPTION,0,0,11831,
3,4,Ivegin Tugba ,OH,1,1,5,7,0.00,TUR,RECEPTION,0,0,11831,
4,5,Ercan Seyma ,OH,1,1,8,10,0.00,TUR,RECEPTION,0,0,11831,
5,14,Erdem Dündar Eda (C),MB,1,0,0,1,100.00,TUR,RECEPTION,0,0,11831,
6,3,Özbay Cansu ,S,0,0,0,0,,TUR,RECEPTION,0,0,11831,
7,6,Akman Kubra ,MB,0,0,0,0,,TUR,RECEPTION,0,0,11831,
8,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,RECEPTION,0,0,11831,
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,RECEPTION,0,0,11831,
10,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,RECEPTION,0,0,11831,
11,13,Boz Meryem ,O,0,0,0,0,,TUR,RECEPTION,0,0,11831,
12,19,Kalac Asli ,MB,0,0,1,1,0.00,TUR,RECEPTION,0,0,11831,
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,RECEPTION,0,0,11831,
0,2,Akoz Simge Sebnem ,L,4,0,2,6,66.67,TUR,RECEPTION,1,25,11831,1
1,7,Baladin Hande ,OH,3,3,4,10,0.00,TUR,RECEPTION,1,25,11831,1
2,3,Özbay Cansu ,S,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
3,4,Ivegin Tugba ,OH,0,0,2,2,0.00,TUR,RECEPTION,1,25,11831,1
4,5,Ercan Seyma ,OH,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
6,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
7,9,Diken Meliha ,O,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
9,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
10,13,Boz Meryem ,O,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
11,14,Erdem Dündar Eda (C),MB,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,RECEPTION,1,25,11831,1
0,2,Akoz Simge Sebnem ,L,4,0,1,5,80.00,TUR,RECEPTION,2,18,11831,0
1,9,Diken Meliha ,O,3,0,4,7,42.86,TUR,RECEPTION,2,18,11831,0
2,4,Ivegin Tugba ,OH,1,1,3,5,0.00,TUR,RECEPTION,2,18,11831,0
3,7,Baladin Hande ,OH,1,1,3,5,0.00,TUR,RECEPTION,2,18,11831,0
4,3,Özbay Cansu ,S,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
5,5,Ercan Seyma ,OH,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
6,6,Akman Kubra ,MB,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
9,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
10,13,Boz Meryem ,O,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
11,14,Erdem Dündar Eda (C),MB,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,RECEPTION,2,18,11831,0
0,9,Diken Meliha ,O,2,0,5,7,28.57,TUR,RECEPTION,3,25,11831,1
1,2,Akoz Simge Sebnem ,L,1,2,2,5,-20.00,TUR,RECEPTION,3,25,11831,1
2,5,Ercan Seyma ,OH,1,1,2,4,0.00,TUR,RECEPTION,3,25,11831,1
3,3,Özbay Cansu ,S,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
4,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
6,7,Baladin Hande ,OH,0,1,4,5,-20.00,TUR,RECEPTION,3,25,11831,1
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
9,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
10,13,Boz Meryem ,O,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
11,14,Erdem Dündar Eda (C),MB,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,RECEPTION,3,25,11831,1
0,9,Diken Meliha ,O,2,0,9,11,18.18,TUR,RECEPTION,4,22,11831,0
1,2,Akoz Simge Sebnem ,L,1,0,2,3,33.33,TUR,RECEPTION,4,22,11831,0
2,7,Baladin Hande ,OH,1,0,6,7,14.29,TUR,RECEPTION,4,22,11831,0
3,14,Erdem Dündar Eda (C),MB,1,0,0,1,100.00,TUR,RECEPTION,4,22,11831,0
4,3,Özbay Cansu ,S,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
5,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,RECEPTION,4,22,11831,0
