,Player No,Player Name,Position,Total ABS,Attack Points,Block Points,Serve Points,Errors, Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,6,Janiska Jennifer ,OH,15,13,1,1,,14.29,GER,SCORING,0,0,13754,
1,12,Orthmann Hanna ,OH,15,14,0,1,,8.00,GER,SCORING,0,0,13754,
2,21,Weitzel Camilla ,MB,13,10,2,1,,10.42,GER,SCORING,0,0,13754,
3,10,Stigrot Lena ,OH,10,9,1,0,,6.98,GER,SCORING,0,0,13754,
4,14,Schölzel Marie ,MB,10,8,2,0,,2.86,GER,SCORING,0,0,13754,
5,7,Vanjak Ivana ,OH,4,4,0,0,,0.00,GER,SCORING,0,0,13754,
6,2,Kästner Pia ,S,3,1,0,2,,0.00,GER,SCORING,0,0,13754,
7,9,Alsmeier Lina ,OH,3,3,0,0,,-15.79,GER,SCORING,0,0,13754,
8,13,Hippe Saskia ,O,1,1,0,0,,0.00,GER,SCORING,0,0,13754,
9,24,Cekulaev Anastasia ,MB,1,1,0,0,,50.00,GER,SCORING,0,0,13754,
10,1,Bock Linda ,L,0,0,0,0,,,GER,SCORING,0,0,13754,
11,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,0,0,13754,
12,5,Glaab Corina ,S,0,0,0,0,,-16.67,GER,SCORING,0,0,13754,
13,22,Strubbe Monique ,MB,0,0,0,0,,,GER,SCORING,0,0,13754,
0,12,Orthmann Hanna ,OH,7,6,0,1,,5.00,GER,SCORING,1,27,13754,0
1,10,Stigrot Lena ,OH,5,4,1,0,,18.75,GER,SCORING,1,27,13754,0
2,21,Weitzel Camilla ,MB,4,3,1,0,,6.67,GER,SCORING,1,27,13754,0
3,6,Janiska Jennifer ,OH,3,3,0,0,,7.69,GER,SCORING,1,27,13754,0
4,14,Schölzel Marie ,MB,3,3,0,0,,11.11,GER,SCORING,1,27,13754,0
5,1,Bock Linda ,L,0,0,0,0,,,GER,SCORING,1,27,13754,0
6,2,Kästner Pia ,S,0,0,0,0,,-20.00,GER,SCORING,1,27,13754,0
7,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,1,27,13754,0
8,5,Glaab Corina ,S,0,0,0,0,,,GER,SCORING,1,27,13754,0
9,7,Vanjak Ivana ,OH,0,0,0,0,,,GER,SCORING,1,27,13754,0
10,9,Alsmeier Lina ,OH,0,0,0,0,,,GER,SCORING,1,27,13754,0
11,13,Hippe Saskia ,O,0,0,0,0,,,GER,SCORING,1,27,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,,GER,SCORING,1,27,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,1,27,13754,0
0,12,Orthmann Hanna ,OH,6,6,0,0,,14.29,GER,SCORING,2,25,13754,1
1,21,Weitzel Camilla ,MB,4,3,1,0,,21.43,GER,SCORING,2,25,13754,1
2,6,Janiska Jennifer ,OH,3,3,0,0,,0.00,GER,SCORING,2,25,13754,1
3,10,Stigrot Lena ,OH,3,3,0,0,,11.11,GER,SCORING,2,25,13754,1
4,2,Kästner Pia ,S,1,1,0,0,,0.00,GER,SCORING,2,25,13754,1
5,14,Schölzel Marie ,MB,1,1,0,0,,-25.00,GER,SCORING,2,25,13754,1
6,1,Bock Linda ,L,0,0,0,0,,,GER,SCORING,2,25,13754,1
7,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,2,25,13754,1
8,5,Glaab Corina ,S,0,0,0,0,,,GER,SCORING,2,25,13754,1
9,7,Vanjak Ivana ,OH,0,0,0,0,,,GER,SCORING,2,25,13754,1
10,9,Alsmeier Lina ,OH,0,0,0,0,,-33.33,GER,SCORING,2,25,13754,1
11,13,Hippe Saskia ,O,0,0,0,0,,0.00,GER,SCORING,2,25,13754,1
12,22,Strubbe Monique ,MB,0,0,0,0,,,GER,SCORING,2,25,13754,1
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,2,25,13754,1
0,14,Schölzel Marie ,MB,5,3,2,0,,33.33,GER,SCORING,3,25,13754,0
1,6,Janiska Jennifer ,OH,3,3,0,0,,16.67,GER,SCORING,3,25,13754,0
2,7,Vanjak Ivana ,OH,3,3,0,0,,7.14,GER,SCORING,3,25,13754,0
3,21,Weitzel Camilla ,MB,3,2,0,1,,9.09,GER,SCORING,3,25,13754,0
4,10,Stigrot Lena ,OH,2,2,0,0,,0.00,GER,SCORING,3,25,13754,0
5,12,Orthmann Hanna ,OH,2,2,0,0,,0.00,GER,SCORING,3,25,13754,0
6,1,Bock Linda ,L,0,0,0,0,,,GER,SCORING,3,25,13754,0
7,2,Kästner Pia ,S,0,0,0,0,,,GER,SCORING,3,25,13754,0
8,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,3,25,13754,0
9,5,Glaab Corina ,S,0,0,0,0,,-25.00,GER,SCORING,3,25,13754,0
10,9,Alsmeier Lina ,OH,0,0,0,0,,-36.36,GER,SCORING,3,25,13754,0
11,13,Hippe Saskia ,O,0,0,0,0,,,GER,SCORING,3,25,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,,GER,SCORING,3,25,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,,GER,SCORING,3,25,13754,0
0,6,Janiska Jennifer ,OH,6,4,1,1,,41.67,GER,SCORING,4,21,13754,0
1,9,Alsmeier Lina ,OH,3,3,0,0,,40.00,GER,SCORING,4,21,13754,0
2,2,Kästner Pia ,S,2,0,0,2,,12.50,GER,SCORING,4,21,13754,0
3,21,Weitzel Camilla ,MB,2,2,0,0,,0.00,GER,SCORING,4,21,13754,0
4,7,Vanjak Ivana ,OH,1,1,0,0,,-9.09,GER,SCORING,4,21,13754,0
5,13,Hippe Saskia ,O,1,1,0,0,,0.00,GER,SCORING,4,21,13754,0
6,14,Schölzel Marie ,MB,1,1,0,0,,-33.33,GER,SCORING,4,21,13754,0
7,24,Cekulaev Anastasia ,MB,1,1,0,0,,50.00,GER,SCORING,4,21,13754,0
8,1,Bock Linda ,L,0,0,0,0,,,GER,SCORING,4,21,13754,0
9,4,Pogany Anna (C),L,0,0,0,0,,,GER,SCORING,4,21,13754,0
10,5,Glaab Corina ,S,0,0,0,0,,0.00,GER,SCORING,4,21,13754,0
11,10,Stigrot Lena ,OH,0,0,0,0,,-50.00,GER,SCORING,4,21,13754,0
12,12,Orthmann Hanna ,OH,0,0,0,0,,,GER,SCORING,4,21,13754,0
13,22,Strubbe Monique ,MB,0,0,0,0,,,GER,SCORING,4,21,13754,0
0,17,Bergmann Julia Isabelle ,OH,19,18,1,0,,8.96,BRA,SCORING,0,0,13754,
1,4,Da Silva Ana Carolina ,MB,16,9,6,1,,16.67,BRA,SCORING,0,0,13754,
2,5,Zalewski Daroit Priscila ,OH,13,11,1,1,,6.56,BRA,SCORING,0,0,13754,
3,2,Duarte Alecrim Diana ,MB,11,7,4,0,,19.35,BRA,SCORING,0,0,13754,
4,16,Nascimento Kisy ,O,10,9,1,0,,27.59,BRA,SCORING,0,0,13754,
5,24,Geraldo Teixeira Lorenne ,O,8,7,0,1,,7.89,BRA,SCORING,0,0,13754,
6,12,Menezes Oliveira de Souza Ana Cristina ,OH,2,2,0,0,,20.00,BRA,SCORING,0,0,13754,
7,8,Silva Carneiro Macris Fernanda (C),S,1,1,0,0,,0.00,BRA,SCORING,0,0,13754,
8,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,,BRA,SCORING,0,0,13754,
9,9,Ratzke Roberta Silva ,S,0,0,0,0,,0.00,BRA,SCORING,0,0,13754,
10,11,Barbosa De Souza Karina ,OH,0,0,0,0,,0.00,BRA,SCORING,0,0,13754,
11,14,Araujo Natália ,L,0,0,0,0,,,BRA,SCORING,0,0,13754,
12,15,Viezel Lorena Giovana ,MB,0,0,0,0,,,BRA,SCORING,0,0,13754,
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,,BRA,SCORING,0,0,13754,
0,24,Geraldo Teixeira Lorenne ,O,7,6,0,1,,35.29,BRA,SCORING,1,29,13754,1
1,5,Zalewski Daroit Priscila ,OH,6,5,1,0,,15.79,BRA,SCORING,1,29,13754,1
2,17,Bergmann Julia Isabelle ,OH,5,5,0,0,,23.08,BRA,SCORING,1,29,13754,1
3,2,Duarte Alecrim Diana ,MB,4,2,2,0,,10.00,BRA,SCORING,1,29,13754,1
4,4,Da Silva Ana Carolina ,MB,3,0,3,0,,28.57,BRA,SCORING,1,29,13754,1
5,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,,BRA,SCORING,1,29,13754,1
6,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,-14.29,BRA,SCORING,1,29,13754,1
7,9,Ratzke Roberta Silva ,S,0,0,0,0,,,BRA,SCORING,1,29,13754,1
8,11,Barbosa De Souza Karina ,OH,0,0,0,0,,0.00,BRA,SCORING,1,29,13754,1
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,,BRA,SCORING,1,29,13754,1
10,14,Araujo Natália ,L,0,0,0,0,,,BRA,SCORING,1,29,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,0,,,BRA,SCORING,1,29,13754,1
12,16,Nascimento Kisy ,O,0,0,0,0,,,BRA,SCORING,1,29,13754,1
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,,BRA,SCORING,1,29,13754,1
0,4,Da Silva Ana Carolina ,MB,5,3,1,1,,15.79,BRA,SCORING,2,23,13754,0
1,17,Bergmann Julia Isabelle ,OH,4,4,0,0,,0.00,BRA,SCORING,2,23,13754,0
2,2,Duarte Alecrim Diana ,MB,3,2,1,0,,12.50,BRA,SCORING,2,23,13754,0
3,5,Zalewski Daroit Priscila ,OH,2,1,0,1,,-7.14,BRA,SCORING,2,23,13754,0
4,8,Silva Carneiro Macris Fernanda (C),S,1,1,0,0,,33.33,BRA,SCORING,2,23,13754,0
5,16,Nascimento Kisy ,O,1,1,0,0,,100.00,BRA,SCORING,2,23,13754,0
