Country,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BEL,668.0,477.0,188.0,0.0,121.0,76.0,1222.0,1129.0,288.0,54.8
BRA,690.0,502.0,162.0,19.0,128.0,45.0,934.0,771.0,187.0,46.2
RUS,728.0,397.0,110.0,200.0,152.0,55.0,1066.0,1045.0,257.0,53.0
CAN,643.0,452.0,148.0,31.0,130.0,61.0,915.0,1140.0,320.0,52.4
CHN,784.0,520.0,218.0,38.0,129.0,47.0,1115.0,1128.0,215.0,54.599999999999994
DOM,621.0,429.0,115.0,68.0,98.0,48.0,895.0,912.0,260.0,44.800000000000004
GER,616.0,369.0,124.0,99.0,107.0,62.0,757.0,985.0,328.0,47.2
ITA,641.0,381.0,140.0,114.0,94.0,76.0,972.0,986.0,312.0,49.2
JPN,720.0,574.0,143.0,0.0,88.0,67.0,1018.0,906.0,203.0,48.800000000000004
KOR,528.0,413.0,96.0,15.0,68.0,59.0,952.0,1017.0,258.0,47.6
NED,680.0,324.0,198.0,138.0,129.0,66.0,962.0,953.0,243.0,48.800000000000004
POL,713.0,202.0,138.0,352.0,140.0,61.0,1005.0,1068.0,280.0,51.8
SRB,686.0,250.0,119.0,297.0,138.0,62.0,1118.0,1117.0,336.0,53.800000000000004
THA,542.0,244.0,203.0,73.0,41.0,36.0,959.0,1018.0,174.0,49.0
TUR,768.0,208.0,204.0,335.0,153.0,93.0,1056.0,1059.0,336.0,55.4
USA,681.0,300.0,159.0,205.0,109.0,85.0,849.0,709.0,258.0,45.0
