,Attack,Attack,Attack,Attack,Block,Serve,Dig,Reception,Error,Turns
,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BEL,174,118,56,0,40,23,387,318,78,15.2
BRA,221,161,53,4,37,13,323,240,57,14.6
RUS,232,120,38,68,51,16,340,308,75,16.2
CAN,176,125,39,10,39,17,263,317,88,14.6
CHN,260,166,77,15,36,9,373,344,61,16.2
DOM,160,124,29,4,30,10,220,229,69,11.6
GER,165,98,31,30,31,12,222,274,92,13.0
ITA,196,128,45,21,27,26,310,293,89,15.0
JPN,208,166,42,0,26,18,359,266,62,14.6
KOR,123,95,20,7,16,18,276,282,68,13.0
NED,196,96,54,41,37,18,272,278,60,13.6
POL,198,67,40,85,40,13,268,278,67,13.799999999999999
SRB,200,67,35,92,33,19,324,330,89,15.6
THA,171,78,66,22,14,10,297,306,50,15.0
TUR,225,70,56,92,47,31,307,317,109,16.6
USA,192,84,44,60,30,27,250,201,76,13.0
