,,Total Score,Match1,Match2,Match3,Match4,Match5
BEL,BEL,0:0,0:0,0:0,0:0,0:0,0:0
BEL,BRA,0:0,0:0,0:0,0:0,0:0,0:0
BEL,BUL,0:0,0:0,0:0,0:0,0:0,0:0
BEL,CAN,0:0,0:0,0:0,0:0,0:0,0:0
BEL,CHN,0:0,0:0,0:0,0:0,0:0,0:0
BEL,DOM,0:0,0:0,0:0,0:0,0:0,0:0
BEL,GER,0:0,0:0,0:0,0:0,0:0,0:0
BEL,ITA,1:3,25-21,19-25,23-25,20-25,-
BEL,JPN,3:2,25-16,18-25,25-19,11-25,15-10
BEL,KOR,0:0,0:0,0:0,0:0,0:0,0:0
BEL,NED,1:3,25-21,24-26,20-25,21-25,-
BEL,POL,3:2,25-20,15-25,25-22,22-25,15-13
BEL,SRB,1:3,25-14,16-25,17-25,22-25,-
BEL,THA,0:0,0:0,0:0,0:0,0:0,0:0
BEL,TUR,0:0,0:0,0:0,0:0,0:0,0:0
BEL,USA,0:3,16-25,21-25,19-25,-,-
BRA,BEL,0:0,0:0,0:0,0:0,0:0,0:0
BRA,BRA,0:0,0:0,0:0,0:0,0:0,0:0
BRA,BUL,3:0,25-21,25-20,25-18,-,-
BRA,CAN,0:0,0:0,0:0,0:0,0:0,0:0
BRA,CHN,0:0,0:0,0:0,0:0,0:0,0:0
BRA,DOM,0:0,0:0,0:0,0:0,0:0,0:0
BRA,GER,0:0,0:0,0:0,0:0,0:0,0:0
BRA,ITA,0:0,0:0,0:0,0:0,0:0,0:0
BRA,JPN,3:1,29-27,28-26,20-25,25-14,-
BRA,KOR,0:0,0:0,0:0,0:0,0:0,0:0
BRA,NED,0:0,0:0,0:0,0:0,0:0,0:0
BRA,POL,3:0,25-23,25-21,25-22,-,-
BRA,SRB,3:0,25-21,25-9,25-21,-,-
BRA,THA,3:1,25-18,26-24,23-25,25-23,-
BRA,TUR,3:1,19-25,25-23,25-23,25-23,-
BRA,USA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,BEL,2:3,22-25,23-25,25-20,25-20,15-17
BUL,BRA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,BUL,0:0,0:0,0:0,0:0,0:0,0:0
BUL,CAN,3:0,26-24,25-22,25-21,-,-
BUL,CHN,0:0,0:0,0:0,0:0,0:0,0:0
BUL,DOM,0:0,0:0,0:0,0:0,0:0,0:0
BUL,GER,0:0,0:0,0:0,0:0,0:0,0:0
BUL,ITA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,JPN,0:3,20-25,16-25,23-25,-,-
BUL,KOR,0:0,0:0,0:0,0:0,0:0,0:0
BUL,NED,3:2,25-15,12-25,19-25,25-15,15-7
BUL,POL,0:0,0:0,0:0,0:0,0:0,0:0
BUL,SRB,0:0,0:0,0:0,0:0,0:0,0:0
BUL,THA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,TUR,0:3,19-25,21-25,16-25,-,-
BUL,USA,0:3,20-25,22-25,20-25,-,-
CAN,BEL,3:1,25-22,25-21,22-25,25-22,-
CAN,BRA,0:0,0:0,0:0,0:0,0:0,0:0
CAN,BUL,0:0,0:0,0:0,0:0,0:0,0:0
CAN,CAN,0:0,0:0,0:0,0:0,0:0,0:0
CAN,CHN,0:0,0:0,0:0,0:0,0:0,0:0
CAN,DOM,3:0,25-18,25-15,25-18,-,-
CAN,GER,0:0,0:0,0:0,0:0,0:0,0:0
CAN,ITA,0:0,0:0,0:0,0:0,0:0,0:0
CAN,JPN,0:0,0:0,0:0,0:0,0:0,0:0
CAN,KOR,0:0,0:0,0:0,0:0,0:0,0:0
CAN,NED,0:0,0:0,0:0,0:0,0:0,0:0
CAN,POL,0:0,0:0,0:0,0:0,0:0,0:0
CAN,SRB,0:0,0:0,0:0,0:0,0:0,0:0
CAN,THA,0:3,19-25,22-25,24-26,-,-
CAN,TUR,3:1,25-22,21-25,25-22,25-23,-
CAN,USA,0:0,0:0,0:0,0:0,0:0,0:0
CHN,BEL,3:0,25-19,25-22,25-14,-,-
CHN,BRA,2:3,20-25,23-25,25-18,25-21,11-15
CHN,BUL,0:0,0:0,0:0,0:0,0:0,0:0
CHN,CAN,3:1,25-16,18-25,25-12,25-18,-
CHN,CHN,0:0,0:0,0:0,0:0,0:0,0:0
CHN,DOM,3:0,25-19,25-16,25-15,-,-
CHN,GER,0:0,0:0,0:0,0:0,0:0,0:0
CHN,ITA,3:1,25-13,20-25,25-22,25-18,-
CHN,JPN,0:0,0:0,0:0,0:0,0:0,0:0
CHN,KOR,3:1,25-13,19-25,25-19,26-24,-
CHN,NED,3:1,16-25,25-22,25-23,25-23,-
CHN,POL,0:0,0:0,0:0,0:0,0:0,0:0
CHN,SRB,0:0,0:0,0:0,0:0,0:0,0:0
CHN,THA,0:0,0:0,0:0,0:0,0:0,0:0
CHN,TUR,0:0,0:0,0:0,0:0,0:0,0:0
CHN,USA,0:0,0:0,0:0,0:0,0:0,0:0
DOM,BEL,0:0,0:0,0:0,0:0,0:0,0:0
DOM,BRA,1:3,9-25,25-16,18-25,17-25,-
DOM,BUL,0:3,15-25,13-25,21-25,-,-
DOM,CAN,0:0,0:0,0:0,0:0,0:0,0:0
DOM,CHN,0:0,0:0,0:0,0:0,0:0,0:0
DOM,DOM,0:0,0:0,0:0,0:0,0:0,0:0
DOM,GER,0:0,0:0,0:0,0:0,0:0,0:0
DOM,ITA,0:0,0:0,0:0,0:0,0:0,0:0
DOM,JPN,1:3,17-25,25-20,21-25,10-25,-
DOM,KOR,3:0,25-21,25-17,25-13,-,-
DOM,NED,0:0,0:0,0:0,0:0,0:0,0:0
DOM,POL,3:2,20-25,38-36,25-20,13-25,15-9
DOM,SRB,0:0,0:0,0:0,0:0,0:0,0:0
DOM,THA,0:0,0:0,0:0,0:0,0:0,0:0
DOM,TUR,0:0,0:0,0:0,0:0,0:0,0:0
DOM,USA,0:0,0:0,0:0,0:0,0:0,0:0
GER,BEL,3:1,20-25,25-18,25-22,25-20,-
GER,BRA,1:3,27-29,25-23,25-27,21-25,-
GER,BUL,0:0,0:0,0:0,0:0,0:0,0:0
GER,CAN,3:1,25-19,19-25,27-25,25-23,-
GER,CHN,0:0,0:0,0:0,0:0,0:0,0:0
GER,DOM,1:3,23-25,23-25,25-11,25-27,-
GER,GER,0:0,0:0,0:0,0:0,0:0,0:0
GER,ITA,0:3,19-25,22-25,25-27,-,-
GER,JPN,2:3,27-25,25-23,20-25,22-25,12-15
GER,KOR,3:0,25-22,25-15,25-16,-,-
GER,NED,0:0,0:0,0:0,0:0,0:0,0:0
GER,POL,0:0,0:0,0:0,0:0,0:0,0:0
GER,SRB,0:0,0:0,0:0,0:0,0:0,0:0
GER,THA,0:0,0:0,0:0,0:0,0:0,0:0
GER,TUR,0:3,22-25,21-25,22-25,-,-
GER,USA,0:0,0:0,0:0,0:0,0:0,0:0
ITA,BEL,0:0,0:0,0:0,0:0,0:0,0:0
ITA,BRA,3:0,25-23,25-22,25-22,-,-
ITA,BUL,3:0,25-12,25-19,25-21,-,-
ITA,CAN,0:0,0:0,0:0,0:0,0:0,0:0
ITA,CHN,3:1,25-22,25-19,24-26,25-22,-
ITA,DOM,3:2,25-23,20-25,25-19,16-25,15-12
ITA,GER,0:0,0:0,0:0,0:0,0:0,0:0
ITA,ITA,0:0,0:0,0:0,0:0,0:0,0:0
ITA,JPN,0:0,0:0,0:0,0:0,0:0,0:0
ITA,KOR,3:1,25-17,23-25,25-15,25-19,-
ITA,NED,0:0,0:0,0:0,0:0,0:0,0:0
ITA,POL,3:1,25-27,25-20,28-26,25-18,-
ITA,SRB,0:0,0:0,0:0,0:0,0:0,0:0
ITA,THA,0:0,0:0,0:0,0:0,0:0,0:0
ITA,TUR,0:0,0:0,0:0,0:0,0:0,0:0
ITA,USA,0:0,0:0,0:0,0:0,0:0,0:0
JPN,BEL,0:0,0:0,0:0,0:0,0:0,0:0
