,Attack,Attack,Attack,Attack,Block,Serve,Dig,Reception,Error,Turns
,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BRA,416,215,105,91,85,34,531,570,160,29.200000000000003
BUL,372,183,62,117,57,45,572,658,196,32.2
CAN,422,306,89,13,88,26,672,651,195,31.799999999999997
CHN,425,197,138,86,68,34,506,545,138,29.200000000000003
CRO,344,121,105,100,69,29,625,616,144,29.0
DOM,510,250,117,137,105,31,755,765,223,38.4
GER,489,317,129,40,81,57,732,693,187,35.2
ITA,461,216,97,143,87,30,638,680,198,33.0
JPN,446,351,86,0,57,41,735,548,138,29.800000000000004
KOR,320,167,77,71,41,27,681,645,176,29.0
NED,410,201,104,93,62,34,552,615,149,29.200000000000003
POL,413,161,99,149,82,29,590,533,151,27.6
SRB,466,175,83,189,81,35,776,678,174,34.0
THA,379,202,73,95,62,17,682,618,142,28.200000000000003
TUR,411,107,72,221,79,38,516,512,153,27.6
USA,444,202,99,127,82,32,632,601,153,31.4
IRI,0,0,0,0,0,0,0,0,0,0.0
ARG,0,0,0,0,0,0,0,0,0,0.0
CUB,0,0,0,0,0,0,0,0,0,0.0
FRA,0,0,0,0,0,0,0,0,0,0.0
SLO,0,0,0,0,0,0,0,0,0,0.0
