,Attack,Attack,Attack,Attack,Block,Serve,Dig,Reception,Error,Turns
,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BRA,287,166,91,26,44,20,372,410,115,19.2
BUL,111,49,19,42,26,16,203,243,68,11.6
CAN,174,132,38,0,47,15,252,285,74,13.799999999999999
CHN,385,190,116,75,58,23,518,542,114,28.2
CRO,78,13,25,38,14,5,149,203,45,9.0
DOM,192,88,40,61,29,18,242,232,67,12.2
GER,221,153,63,4,34,20,356,354,80,16.6
ITA,270,138,42,87,63,20,361,392,121,19.2
JPN,268,205,33,23,36,25,468,399,103,19.6
KOR,113,48,29,36,9,15,176,221,55,10.0
NED,192,86,60,44,56,20,280,271,76,14.6
POL,412,161,112,135,76,30,540,556,143,27.799999999999997
SRB,255,44,59,146,36,23,344,330,90,17.2
THA,143,78,32,31,13,6,240,270,67,12.0
TUR,333,101,84,135,99,22,491,419,124,24.6
USA,399,194,82,102,76,29,590,563,152,28.799999999999997
IRI,0,0,0,0,0,0,0,0,0,0.0
ARG,0,0,0,0,0,0,0,0,0,0.0
CUB,0,0,0,0,0,0,0,0,0,0.0
FRA,0,0,0,0,0,0,0,0,0,0.0
SLO,0,0,0,0,0,0,0,0,0,0.0
